name,value_mm
h0101,2.000
h0102,2.000
h0103,2.000
h0104,2.000
h0105,2.000
h0106,2.000
h0107,2.000
h0108,2.000
h0109,2.000
h0110,2.000
h0111,2.000
h0112,2.000
h0113,2.000
h0114,2.000
h0115,2.000
h0201,2.000
h0202,2.000
h0203,2.000
h0204,2.000
h0205,2.000
h0206,2.000
h0207,2.000
h0208,2.000
h0209,2.000
h0210,2.000
h0211,2.000
h0212,2.000
h0213,2.000
h0214,2.000
h0215,2.000
h0301,2.000
h0302,2.000
h0303,2.000
h0304,2.000
h0305,2.000
h0306,2.000
h0307,2.000
h0308,2.000
h0309,2.000
h0310,2.000
h0311,2.000
h0312,2.000
h0313,2.000
h0314,2.000
h0315,2.000
h0401,2.000
h0402,2.000
h0403,2.000
h0404,2.000
h0405,2.000
h0406,2.000
h0407,2.000
h0408,2.000
h0409,2.000
h0410,2.000
h0411,2.000
h0412,2.000
h0413,2.000
h0414,2.000
h0415,2.000
h0501,2.000
h0502,2.000
h0503,2.000
h0504,2.000
h0505,2.000
h0506,2.000
h0507,2.000
h0508,2.000
h0509,2.000
h0510,2.000
h0511,2.000
h0512,2.000
h0513,2.000
h0514,2.000
h0515,2.000
h0601,2.000
h0602,2.000
h0603,2.000
h0604,2.000
h0605,2.000
h0606,2.000
h0607,2.000
h0608,2.000
h0609,2.000
h0610,2.000
h0611,2.000
h0612,2.000
h0613,2.000
h0614,2.000
h0615,2.000
h0701,2.000
h0702,2.000
h0703,2.000
h0704,2.000
h0705,2.000
h0706,2.000
h0707,2.000
h0708,2.000
h0709,2.000
h0710,2.000
h0711,2.000
h0712,2.000
h0713,2.000
h0714,2.000
h0715,2.000
h0801,2.000
h0802,2.000
h0803,2.000
h0804,2.000
h0805,2.000
h0806,2.000
h0807,2.000
h0808,2.000
h0809,2.000
h0810,2.000
h0811,2.000
h0812,2.000
h0813,2.000
h0814,2.000
h0815,2.000
h0901,2.000
h0902,2.000
h0903,2.000
h0904,2.000
h0905,2.000
h0906,2.000
h0907,2.000
h0908,2.000
h0909,2.000
h0910,2.000
h0911,2.000
h0912,2.000
h0913,2.000
h0914,2.000
h0915,2.000
h1001,2.000
h1002,2.000
h1003,2.000
h1004,2.000
h1005,2.000
h1006,2.000
h1007,2.000
h1008,2.000
h1009,2.000
h1010,2.000
h1011,2.000
h1012,2.000
h1013,2.000
h1014,2.000
h1015,2.000
h1101,2.000
h1102,2.000
h1103,2.000
h1104,2.000
h1105,2.000
h1106,2.000
h1107,2.000
h1108,2.000
h1109,2.000
h1110,2.000
h1111,2.000
h1112,2.000
h1113,2.000
h1114,2.000
h1115,2.000
h1201,2.000
h1202,2.000
h1203,2.000
h1204,2.000
h1205,2.000
h1206,2.000
h1207,2.000
h1208,2.000
h1209,2.000
h1210,2.000
h1211,2.000
h1212,2.000
h1213,2.000
h1214,2.000
h1215,2.000
h1301,2.000
h1302,2.000
h1303,2.000
h1304,2.000
h1305,2.000
h1306,2.000
h1307,2.000
h1308,2.000
h1309,2.000
h1310,2.000
h1311,2.000
h1312,2.000
h1313,2.000
h1314,2.000
h1315,2.000
h1401,2.000
h1402,2.000
h1403,2.000
h1404,2.000
h1405,2.000
h1406,2.000
h1407,2.000
h1408,2.000
h1409,2.000
h1410,2.000
h1411,2.000
h1412,2.000
h1413,2.000
h1414,2.000
h1415,2.000
h1501,2.000
h1502,2.000
h1503,2.000
h1504,2.000
h1505,2.000
h1506,2.000
h1507,2.000
h1508,2.000
h1509,2.000
h1510,2.000
h1511,2.000
h1512,2.000
h1513,2.000
h1514,2.000
h1515,2.000
