name,value_mm
h0101,1.800
h0102,0.992
h0103,1.400
h0104,2.000
h0105,1.131
h0106,0.826
h0107,1.143
h0108,1.268
h0109,1.171
h0110,1.300
h0111,1.171
h0112,1.000
h0113,1.800
h0114,1.102
h0115,0.991
h0201,0.936
h0202,1.254
h0203,1.204
h0204,1.938
h0205,1.313
h0206,1.004
h0207,0.900
h0208,0.976
h0209,1.255
h0210,0.600
h0211,1.400
h0212,0.600
h0213,1.006
h0214,1.251
h0215,1.000
h0301,0.774
h0302,1.072
h0303,1.421
h0304,1.239
h0305,1.293
h0306,1.359
h0307,1.300
h0308,1.800
h0309,1.146
h0310,1.300
h0311,1.000
h0312,1.004
h0313,0.909
h0314,1.385
h0315,1.021
h0401,1.266
h0402,1.400
h0403,1.080
h0404,0.884
h0405,0.810
h0406,0.902
h0407,1.300
h0408,0.864
h0409,0.900
h0410,0.800
h0411,1.018
h0412,1.000
h0413,1.000
h0414,1.218
h0415,1.300
h0501,0.900
h0502,0.963
h0503,1.851
h0504,0.916
h0505,0.817
h0506,0.953
h0507,1.309
h0508,1.268
h0509,1.300
h0510,1.800
h0511,0.860
h0512,1.300
h0513,1.000
h0514,1.085
h0515,1.000
h0601,0.800
h0602,1.800
h0603,1.000
h0604,1.000
h0605,1.800
h0606,1.674
h0607,1.300
h0608,1.000
h0609,0.600
h0610,1.157
h0611,1.300
h0612,1.300
h0613,0.800
h0614,1.300
h0615,2.000
h0701,1.300
h0702,0.900
h0703,1.400
h0704,0.704
h0705,0.600
h0706,1.232
h0707,0.600
h0708,1.446
h0709,1.400
h0710,1.483
h0711,1.380
h0712,0.788
h0713,0.758
h0714,0.865
h0715,1.000
h0801,0.900
h0802,1.000
h0803,1.981
h0804,0.981
h0805,0.781
h0806,1.000
h0807,1.000
h0808,2.000
h0809,1.337
h0810,1.331
h0811,0.900
h0812,0.950
h0813,1.000
h0814,0.694
h0815,1.300
h0901,0.900
h0902,0.779
h0903,1.432
h0904,0.672
h0905,0.797
h0906,1.249
h0907,0.900
h0908,1.435
h0909,1.065
h0910,1.505
h0911,1.073
h0912,1.581
h0913,0.836
h0914,1.461
h0915,2.000
h1001,1.038
h1002,1.300
h1003,1.000
h1004,1.000
h1005,1.512
h1006,1.000
h1007,1.000
h1008,1.300
h1009,1.593
h1010,1.300
h1011,1.033
h1012,1.038
h1013,0.639
h1014,0.855
h1015,1.300
h1101,1.284
h1102,1.294
h1103,0.986
h1104,1.167
h1105,1.400
h1106,1.854
h1107,1.099
h1108,1.059
h1109,1.370
h1110,0.600
h1111,1.670
h1112,1.300
h1113,0.804
h1114,0.916
h1115,1.224
h1201,1.300
h1202,1.360
h1203,1.317
h1204,1.400
h1205,1.161
h1206,0.854
h1207,1.134
h1208,0.825
h1209,0.800
h1210,1.008
h1211,1.135
h1212,0.989
h1213,0.895
h1214,0.800
h1215,0.900
h1301,1.300
h1302,1.000
h1303,1.076
h1304,1.074
h1305,1.000
h1306,1.300
h1307,0.753
h1308,0.825
h1309,0.615
h1310,1.350
h1311,1.800
h1312,0.831
h1313,1.400
h1314,1.086
h1315,0.600
h1401,1.340
h1402,1.400
h1403,1.217
h1404,1.400
h1405,0.758
h1406,0.986
h1407,1.291
h1408,1.825
h1409,1.202
h1410,1.000
h1411,1.347
h1412,1.000
h1413,0.900
h1414,0.683
h1415,1.300
h1501,1.128
h1502,1.255
h1503,1.400
h1504,0.992
h1505,0.915
h1506,1.300
h1507,0.925
h1508,1.300
h1509,1.135
h1510,0.600
h1511,0.900
h1512,1.300
h1513,0.929
h1514,1.300
h1515,2.000
