name,value_mm
h0101,1.999
h0102,2.000
h0103,2.000
h0104,1.999
h0105,1.998
h0106,1.990
h0107,2.000
h0108,1.999
h0109,2.000
h0110,1.999
h0111,1.991
h0112,1.968
h0113,1.984
h0114,1.431
h0115,1.997
h0201,1.908
h0202,1.974
h0203,1.977
h0204,1.101
h0205,1.999
h0206,2.000
h0207,2.000
h0208,2.000
h0209,2.000
h0210,2.000
h0211,2.000
h0212,2.000
h0213,1.951
h0214,1.656
h0215,1.203
h0301,1.980
h0302,1.733
h0303,1.885
h0304,1.992
h0305,2.000
h0306,2.000
h0307,2.000
h0308,1.998
h0309,1.995
h0310,1.996
h0311,1.999
h0312,2.000
h0313,1.998
h0314,1.998
h0315,1.705
h0401,1.996
h0402,1.182
h0403,1.859
h0404,1.999
h0405,2.000
h0406,2.000
h0407,1.997
h0408,0.999
h0409,0.995
h0410,1.987
h0411,2.000
h0412,2.000
h0413,1.996
h0414,1.998
h0415,1.881
h0501,1.999
h0502,1.004
h0503,1.951
h0504,2.000
h0505,2.000
h0506,2.000
h0507,1.857
h0508,1.887
h0509,1.949
h0510,1.998
h0511,2.000
h0512,1.288
h0513,0.998
h0514,1.990
h0515,1.979
h0601,2.000
h0602,1.001
h0603,1.970
h0604,1.999
h0605,1.999
h0606,2.000
h0607,2.000
h0608,1.954
h0609,1.242
h0610,2.000
h0611,1.046
h0612,0.615
h0613,1.000
h0614,1.955
h0615,1.998
h0701,1.999
h0702,1.001
h0703,1.971
h0704,1.985
h0705,1.887
h0706,2.000
h0707,1.800
h0708,1.800
h0709,0.850
h0710,1.009
h0711,1.300
h0712,1.300
h0713,1.003
h0714,2.000
h0715,2.000
h0801,1.999
h0802,1.000
h0803,1.979
h0804,1.401
h0805,1.800
h0806,1.800
h0807,1.800
h0808,2.000
h0809,1.300
h0810,1.481
h0811,1.989
h0812,2.000
h0813,1.991
h0814,2.000
h0815,2.000
h0901,2.000
h0902,1.002
h0903,1.968
h0904,1.428
h0905,1.835
h0906,2.000
h0907,2.000
h0908,1.400
h0909,0.782
h0910,1.300
h0911,1.800
h0912,2.000
h0913,1.988
h0914,2.000
h0915,2.000
h1001,1.800
h1002,0.999
h1003,1.961
h1004,1.989
h1005,1.927
h1006,1.999
h1007,2.000
h1008,1.957
h1009,1.407
h1010,1.999
h1011,1.457
h1012,1.918
h1013,1.917
h1014,2.000
h1015,2.000
h1101,1.999
h1102,1.000
h1103,1.946
h1104,2.000
h1105,2.000
h1106,2.000
h1107,1.972
h1108,1.960
h1109,1.966
h1110,2.000
h1111,2.000
h1112,1.118
h1113,1.992
h1114,2.000
h1115,1.991
h1201,1.999
h1202,1.025
h1203,1.933
h1204,2.000
h1205,2.000
h1206,2.000
h1207,1.997
h1208,1.852
h1209,1.008
h1210,1.999
h1211,1.999
h1212,1.999
h1213,2.000
h1214,2.000
h1215,1.672
h1301,1.997
h1302,1.944
h1303,1.990
h1304,2.000
h1305,2.000
h1306,2.000
h1307,1.998
h1308,1.995
h1309,1.911
h1310,1.999
h1311,2.000
h1312,2.000
h1313,1.999
h1314,1.999
h1315,1.514
h1401,1.935
h1402,2.000
h1403,1.999
h1404,2.000
h1405,1.999
h1406,2.000
h1407,2.000
h1408,2.000
h1409,2.000
h1410,2.000
h1411,2.000
h1412,2.000
h1413,1.721
h1414,1.980
h1415,1.383
h1501,1.998
h1502,2.000
h1503,2.000
h1504,2.000
h1505,2.000
h1506,2.000
h1507,2.000
h1508,1.998
h1509,1.998
h1510,1.964
h1511,1.971
h1512,1.948
h1513,1.947
h1514,2.000
h1515,1.931
