name,value_mm
h0101,1.997
h0102,1.999
h0103,2.000
h0104,1.999
h0105,1.998
h0106,1.986
h0107,1.997
h0108,1.989
h0109,1.995
h0110,1.997
h0111,1.991
h0112,1.995
h0113,1.998
h0114,1.899
h0115,1.049
h0201,1.958
h0202,1.993
h0203,1.996
h0204,1.890
h0205,2.000
h0206,2.000
h0207,1.995
h0208,1.963
h0209,1.950
h0210,1.975
h0211,1.992
h0212,1.997
h0213,1.832
h0214,1.428
h0215,1.399
h0301,1.996
h0302,1.936
h0303,1.986
h0304,1.999
h0305,2.000
h0306,2.000
h0307,1.999
h0308,1.993
h0309,1.759
h0310,1.998
h0311,1.999
h0312,1.997
h0313,1.976
h0314,1.999
h0315,1.737
h0401,1.999
h0402,1.841
h0403,1.986
h0404,2.000
h0405,1.999
h0406,1.999
h0407,1.957
h0408,1.104
h0409,0.761
h0410,1.627
h0411,1.932
h0412,1.947
h0413,1.978
h0414,1.999
h0415,1.726
h0501,2.000
h0502,1.772
h0503,1.995
h0504,1.999
h0505,1.999
h0506,1.999
h0507,1.983
h0508,1.634
h0509,1.158
h0510,1.915
h0511,1.936
h0512,1.382
h0513,1.195
h0514,1.998
h0515,1.969
h0601,2.000
h0602,1.807
h0603,1.997
h0604,2.000
h0605,1.999
h0606,1.999
h0607,2.000
h0608,1.597
h0609,0.986
h0610,1.400
h0611,0.946
h0612,0.628
h0613,0.840
h0614,1.764
h0615,1.996
h0701,2.000
h0702,1.856
h0703,1.997
h0704,1.999
h0705,1.988
h0706,1.999
h0707,1.982
h0708,1.400
h0709,1.300
h0710,1.645
h0711,0.879
h0712,1.390
h0713,1.192
h0714,1.979
h0715,1.996
h0801,1.999
h0802,1.845
h0803,1.998
h0804,1.928
h0805,1.976
h0806,1.979
h0807,1.545
h0808,2.000
h0809,1.800
h0810,1.929
h0811,1.878
h0812,2.000
h0813,1.934
h0814,1.968
h0815,1.997
h0901,1.997
h0902,1.749
h0903,1.997
h0904,1.934
h0905,1.983
h0906,1.999
h0907,1.800
h0908,1.800
h0909,1.686
h0910,1.843
h0911,1.737
h0912,1.999
h0913,1.834
h0914,1.964
h0915,1.997
h1001,1.923
h1002,1.260
h1003,1.994
h1004,1.998
h1005,1.993
h1006,2.000
h1007,2.000
h1008,1.326
h1009,1.896
h1010,1.800
h1011,0.984
h1012,1.201
h1013,1.197
h1014,1.970
h1015,1.998
h1101,1.999
h1102,1.097
h1103,1.948
h1104,1.998
h1105,1.999
h1106,2.000
h1107,1.985
h1108,1.428
h1109,1.588
h1110,1.977
h1111,1.977
h1112,0.982
h1113,1.827
h1114,1.988
h1115,1.994
h1201,1.999
h1202,1.192
h1203,1.985
h1204,1.999
h1205,1.999
h1206,1.999
h1207,1.986
h1208,1.206
h1209,1.870
h1210,1.960
h1211,1.974
h1212,1.982
h1213,1.978
h1214,1.997
h1215,1.655
h1301,1.997
h1302,1.736
h1303,1.984
h1304,1.999
h1305,1.999
h1306,2.000
h1307,1.999
h1308,1.973
h1309,1.925
h1310,1.999
h1311,1.996
h1312,1.988
h1313,1.989
h1314,1.999
h1315,1.281
h1401,1.857
h1402,1.996
h1403,1.996
h1404,1.996
h1405,1.999
h1406,2.000
h1407,1.999
h1408,1.990
h1409,1.997
h1410,1.996
h1411,1.992
h1412,1.993
h1413,1.395
h1414,1.896
h1415,0.936
h1501,2.000
h1502,1.999
h1503,1.999
h1504,2.000
h1505,2.000
h1506,2.000
h1507,2.000
h1508,1.997
h1509,1.993
h1510,1.885
h1511,1.981
h1512,1.991
h1513,1.990
h1514,1.998
h1515,1.919
