name,value_mm
h0101,1.994
h0102,2.000
h0103,1.999
h0104,1.995
h0105,1.995
h0106,1.986
h0107,1.990
h0108,1.999
h0109,1.999
h0110,1.999
h0111,2.000
h0112,2.000
h0113,2.000
h0114,2.000
h0115,1.998
h0201,2.000
h0202,2.000
h0203,2.000
h0204,2.000
h0205,2.000
h0206,2.000
h0207,2.000
h0208,1.999
h0209,1.991
h0210,1.993
h0211,2.000
h0212,2.000
h0213,2.000
h0214,2.000
h0215,2.000
h0301,2.000
h0302,2.000
h0303,2.000
h0304,2.000
h0305,2.000
h0306,2.000
h0307,1.973
h0308,1.980
h0309,1.992
h0310,1.999
h0311,2.000
h0312,2.000
h0313,2.000
h0314,2.000
h0315,2.000
h0401,2.000
h0402,1.999
h0403,2.000
h0404,1.999
h0405,1.999
h0406,1.999
h0407,1.947
h0408,1.976
h0409,1.999
h0410,1.999
h0411,2.000
h0412,2.000
h0413,1.999
h0414,2.000
h0415,2.000
h0501,2.000
h0502,1.999
h0503,2.000
h0504,1.998
h0505,1.999
h0506,1.998
h0507,1.635
h0508,1.800
h0509,1.400
h0510,1.989
h0511,1.987
h0512,1.998
h0513,1.999
h0514,1.999
h0515,2.000
h0601,2.000
h0602,2.000
h0603,2.000
h0604,2.000
h0605,2.000
h0606,1.998
h0607,1.885
h0608,1.400
h0609,1.400
h0610,1.303
h0611,1.954
h0612,1.998
h0613,2.000
h0614,1.999
h0615,2.000
h0701,2.000
h0702,2.000
h0703,2.000
h0704,2.000
h0705,2.000
h0706,1.999
h0707,1.400
h0708,1.993
h0709,2.000
h0710,1.999
h0711,1.795
h0712,1.998
h0713,1.999
h0714,2.000
h0715,2.000
h0801,2.000
h0802,2.000
h0803,2.000
h0804,2.000
h0805,2.000
h0806,1.400
h0807,1.800
h0808,2.000
h0809,1.239
h0810,1.400
h0811,1.800
h0812,1.702
h0813,1.987
h0814,1.997
h0815,2.000
h0901,2.000
h0902,2.000
h0903,2.000
h0904,2.000
h0905,2.000
h0906,2.000
h0907,2.000
h0908,1.996
h0909,2.000
h0910,2.000
h0911,1.893
h0912,2.000
h0913,1.985
h0914,1.992
h0915,2.000
h1001,2.000
h1002,1.999
h1003,2.000
h1004,2.000
h1005,1.999
h1006,2.000
h1007,2.000
h1008,1.445
h1009,1.506
h1010,1.805
h1011,1.998
h1012,2.000
h1013,1.999
h1014,1.994
h1015,2.000
h1101,2.000
h1102,1.998
h1103,2.000
h1104,1.999
h1105,1.999
h1106,2.000
h1107,2.000
h1108,2.000
h1109,1.999
h1110,1.969
h1111,1.994
h1112,1.999
h1113,1.999
h1114,1.998
h1115,1.999
h1201,2.000
h1202,1.999
h1203,2.000
h1204,1.999
h1205,1.999
h1206,1.999
h1207,1.999
h1208,1.999
h1209,1.999
h1210,1.979
h1211,1.980
h1212,1.494
h1213,1.492
h1214,1.498
h1215,1.499
h1301,2.000
h1302,1.996
h1303,1.999
h1304,2.000
h1305,1.999
h1306,2.000
h1307,2.000
h1308,2.000
h1309,1.974
h1310,1.906
h1311,1.954
h1312,1.492
h1313,1.485
h1314,1.496
h1315,1.500
h1401,2.000
h1402,2.000
h1403,1.999
h1404,2.000
h1405,2.000
h1406,2.000
h1407,2.000
h1408,2.000
h1409,1.999
h1410,1.998
h1411,1.998
h1412,1.498
h1413,1.499
h1414,1.499
h1415,1.500
h1501,2.000
h1502,1.999
h1503,1.999
h1504,2.000
h1505,2.000
h1506,2.000
h1507,2.000
h1508,2.000
h1509,1.999
h1510,1.997
h1511,1.968
h1512,1.493
h1513,1.499
h1514,1.500
h1515,1.374
