name,value_mm
h0101,2.000
h0102,1.677
h0103,1.816
h0104,1.924
h0105,1.981
h0106,1.989
h0107,1.989
h0108,1.974
h0109,1.853
h0110,1.817
h0111,1.816
h0112,1.659
h0113,1.624
h0114,1.758
h0115,1.639
h0201,1.103
h0202,1.324
h0203,1.369
h0204,1.954
h0205,1.982
h0206,1.993
h0207,1.993
h0208,1.989
h0209,1.982
h0210,1.897
h0211,1.552
h0212,1.928
h0213,1.915
h0214,1.829
h0215,1.985
h0301,0.874
h0302,1.313
h0303,1.724
h0304,1.972
h0305,1.984
h0306,1.995
h0307,1.991
h0308,1.861
h0309,1.622
h0310,1.494
h0311,1.681
h0312,1.977
h0313,1.970
h0314,1.492
h0315,1.991
h0401,1.738
h0402,1.798
h0403,1.681
h0404,1.970
h0405,1.991
h0406,1.999
h0407,1.988
h0408,1.697
h0409,0.699
h0410,0.705
h0411,1.068
h0412,1.895
h0413,1.941
h0414,1.086
h0415,1.998
h0501,1.983
h0502,1.958
h0503,1.392
h0504,1.941
h0505,1.986
h0506,1.997
h0507,1.994
h0508,1.400
h0509,0.764
h0510,0.630
h0511,0.731
h0512,1.400
h0513,1.445
h0514,1.024
h0515,1.999
h0601,1.998
h0602,1.981
h0603,1.141
h0604,1.886
h0605,1.955
h0606,1.997
h0607,2.000
h0608,1.300
h0609,0.946
h0610,1.000
h0611,1.255
h0612,1.914
h0613,0.988
h0614,1.008
h0615,2.000
h0701,1.998
h0702,1.994
h0703,1.985
h0704,1.985
h0705,1.991
h0706,2.000
h0707,1.400
h0708,1.300
h0709,1.400
h0710,1.641
h0711,2.000
h0712,1.997
h0713,1.791
h0714,1.009
h0715,2.000
h0801,1.972
h0802,1.997
h0803,1.998
h0804,2.000
h0805,1.999
h0806,1.800
h0807,1.800
h0808,2.000
h0809,1.995
h0810,2.000
h0811,1.998
h0812,1.998
h0813,1.767
h0814,1.179
h0815,2.000
h0901,1.558
h0902,1.998
h0903,1.999
h0904,2.000
h0905,1.998
h0906,2.000
h0907,1.300
h0908,1.400
h0909,2.000
h0910,2.000
h0911,1.999
h0912,1.999
h0913,1.949
h0914,1.505
h0915,2.000
h1001,1.799
h1002,1.998
h1003,1.997
h1004,2.000
h1005,1.987
h1006,1.089
h1007,0.952
h1008,1.300
h1009,1.782
h1010,2.000
h1011,2.000
h1012,1.999
h1013,1.952
h1014,1.819
h1015,1.998
h1101,1.946
h1102,1.981
h1103,1.988
h1104,2.000
h1105,2.000
h1106,1.999
h1107,1.012
h1108,0.889
h1109,1.886
h1110,1.999
h1111,2.000
h1112,1.998
h1113,1.961
h1114,1.932
h1115,1.988
h1201,1.949
h1202,1.927
h1203,1.987
h1204,2.000
h1205,2.000
h1206,2.000
h1207,1.990
h1208,1.053
h1209,1.931
h1210,1.992
h1211,2.000
h1212,1.999
h1213,1.964
h1214,1.986
h1215,1.948
h1301,1.945
h1302,1.998
h1303,1.992
h1304,2.000
h1305,2.000
h1306,2.000
h1307,2.000
h1308,2.000
h1309,1.998
h1310,1.982
h1311,1.999
h1312,1.995
h1313,1.962
h1314,1.990
h1315,1.917
h1401,1.945
h1402,1.945
h1403,1.864
h1404,1.996
h1405,1.999
h1406,2.000
h1407,2.000
h1408,2.000
h1409,2.000
h1410,2.000
h1411,2.000
h1412,1.999
h1413,1.973
h1414,1.983
h1415,1.930
h1501,1.825
h1502,1.993
h1503,1.922
h1504,1.645
h1505,1.934
h1506,1.998
h1507,2.000
h1508,2.000
h1509,1.999
h1510,1.682
h1511,1.725
h1512,1.881
h1513,1.961
h1514,1.996
h1515,2.000
