name,value_mm
h0101,0.600
h0102,0.600
h0103,1.577
h0104,1.158
h0105,1.300
h0106,0.823
h0107,0.627
h0108,1.208
h0109,0.804
h0110,1.308
h0111,1.767
h0112,1.942
h0113,1.206
h0114,0.600
h0115,0.600
h0201,0.600
h0202,0.659
h0203,1.222
h0204,1.091
h0205,1.557
h0206,0.872
h0207,0.722
h0208,1.214
h0209,1.006
h0210,0.600
h0211,1.317
h0212,1.411
h0213,0.984
h0214,0.883
h0215,0.600
h0301,0.600
h0302,0.600
h0303,1.109
h0304,2.000
h0305,1.539
h0306,1.305
h0307,1.217
h0308,1.262
h0309,1.685
h0310,1.277
h0311,1.037
h0312,1.300
h0313,0.891
h0314,0.600
h0315,0.600
h0401,0.600
h0402,1.054
h0403,1.088
h0404,1.474
h0405,1.829
h0406,1.465
h0407,1.225
h0408,0.600
h0409,0.980
h0410,1.565
h0411,1.093
h0412,1.929
h0413,1.169
h0414,0.800
h0415,0.712
h0501,0.676
h0502,1.229
h0503,1.352
h0504,1.625
h0505,1.800
h0506,2.000
h0507,1.130
h0508,0.603
h0509,1.458
h0510,1.334
h0511,1.462
h0512,1.579
h0513,2.000
h0514,1.159
h0515,0.660
h0601,1.470
h0602,0.954
h0603,1.233
h0604,0.836
h0605,0.969
h0606,1.333
h0607,1.300
h0608,0.600
h0609,0.600
h0610,0.805
h0611,0.600
h0612,0.763
h0613,1.300
h0614,1.627
h0615,1.459
h0701,0.709
h0702,1.040
h0703,0.941
h0704,0.875
h0705,1.430
h0706,1.729
h0707,1.300
h0708,1.000
h0709,1.300
h0710,1.275
h0711,0.600
h0712,0.600
h0713,0.600
h0714,0.960
h0715,1.400
h0801,1.439
h0802,0.600
h0803,0.848
h0804,0.839
h0805,1.823
h0806,1.400
h0807,1.800
h0808,2.000
h0809,1.400
h0810,2.000
h0811,1.522
h0812,1.147
h0813,1.043
h0814,1.444
h0815,1.403
h0901,1.300
h0902,0.983
h0903,1.496
h0904,0.904
h0905,1.731
h0906,1.567
h0907,1.400
h0908,1.000
h0909,0.600
h0910,1.433
h0911,1.000
h0912,0.600
h0913,1.474
h0914,0.905
h0915,1.000
h1001,1.614
h1002,1.353
h1003,0.660
h1004,1.228
h1005,1.306
h1006,1.513
h1007,1.439
h1008,0.600
h1009,0.600
h1010,0.850
h1011,0.600
h1012,0.761
h1013,0.600
h1014,0.939
h1015,0.600
h1101,1.042
h1102,1.925
h1103,1.645
h1104,1.268
h1105,1.814
h1106,1.431
h1107,1.127
h1108,0.780
h1109,0.600
h1110,0.948
h1111,1.090
h1112,1.240
h1113,1.369
h1114,0.671
h1115,0.798
h1201,1.020
h1202,1.523
h1203,1.732
h1204,2.000
h1205,1.503
h1206,1.987
h1207,2.000
h1208,1.778
h1209,1.215
h1210,1.074
h1211,1.205
h1212,1.333
h1213,0.981
h1214,0.692
h1215,0.685
h1301,0.600
h1302,1.345
h1303,1.208
h1304,1.865
h1305,1.092
h1306,1.100
h1307,1.706
h1308,1.446
h1309,1.029
h1310,0.921
h1311,0.889
h1312,0.750
h1313,0.600
h1314,0.600
h1315,0.600
h1401,0.684
h1402,0.612
h1403,0.600
h1404,1.258
h1405,1.604
h1406,1.645
h1407,0.757
h1408,0.600
h1409,1.395
h1410,1.250
h1411,1.111
h1412,1.063
h1413,1.422
h1414,0.600
h1415,0.600
h1501,0.663
h1502,0.600
h1503,1.355
h1504,1.662
h1505,2.000
h1506,1.407
h1507,0.998
h1508,1.119
h1509,1.910
h1510,1.587
h1511,1.314
h1512,1.039
h1513,1.461
h1514,1.057
h1515,0.600
