name,value_mm
h0101,0.600
h0102,0.615
h0103,1.391
h0104,1.317
h0105,1.395
h0106,0.603
h0107,1.434
h0108,1.408
h0109,0.600
h0110,0.600
h0111,1.054
h0112,1.380
h0113,1.038
h0114,0.647
h0115,0.600
h0201,0.940
h0202,1.017
h0203,0.658
h0204,1.410
h0205,1.578
h0206,0.600
h0207,1.364
h0208,1.108
h0209,1.047
h0210,1.300
h0211,1.266
h0212,1.122
h0213,1.181
h0214,1.105
h0215,1.000
h0301,1.073
h0302,0.789
h0303,0.600
h0304,1.027
h0305,0.832
h0306,0.724
h0307,1.712
h0308,1.400
h0309,2.000
h0310,1.786
h0311,1.858
h0312,1.313
h0313,1.641
h0314,0.728
h0315,1.723
h0401,0.897
h0402,1.271
h0403,0.600
h0404,1.108
h0405,0.930
h0406,1.352
h0407,0.787
h0408,0.600
h0409,1.461
h0410,0.912
h0411,1.510
h0412,2.000
h0413,1.323
h0414,1.305
h0415,1.463
h0501,0.971
h0502,1.516
h0503,1.318
h0504,0.954
h0505,1.321
h0506,1.904
h0507,1.453
h0508,1.142
h0509,1.352
h0510,1.086
h0511,1.300
h0512,2.000
h0513,1.158
h0514,1.155
h0515,1.095
h0601,1.067
h0602,0.664
h0603,1.000
h0604,1.794
h0605,0.947
h0606,1.345
h0607,0.600
h0608,0.633
h0609,1.300
h0610,0.794
h0611,1.000
h0612,1.300
h0613,1.606
h0614,1.589
h0615,1.502
h0701,0.600
h0702,0.600
h0703,0.671
h0704,1.252
h0705,1.562
h0706,1.063
h0707,1.300
h0708,1.042
h0709,2.000
h0710,1.593
h0711,0.600
h0712,1.300
h0713,1.052
h0714,0.835
h0715,0.696
h0801,1.001
h0802,0.856
h0803,0.871
h0804,1.452
h0805,1.603
h0806,1.600
h0807,2.000
h0808,2.000
h0809,1.400
h0810,1.000
h0811,0.840
h0812,1.673
h0813,1.391
h0814,1.254
h0815,1.195
h0901,1.125
h0902,1.300
h0903,1.494
h0904,0.844
h0905,1.310
h0906,0.600
h0907,1.595
h0908,1.300
h0909,0.600
h0910,0.600
h0911,1.192
h0912,2.000
h0913,1.300
h0914,1.219
h0915,1.494
h1001,1.395
h1002,1.757
h1003,1.982
h1004,1.536
h1005,0.962
h1006,1.000
h1007,0.600
h1008,0.600
h1009,0.600
h1010,0.943
h1011,0.999
h1012,1.269
h1013,0.600
h1014,0.967
h1015,0.600
h1101,1.456
h1102,1.587
h1103,1.581
h1104,1.615
h1105,1.620
h1106,1.713
h1107,1.400
h1108,1.087
h1109,0.600
h1110,0.943
h1111,0.600
h1112,1.516
h1113,0.600
h1114,0.673
h1115,0.600
h1201,1.470
h1202,1.983
h1203,2.000
h1204,1.649
h1205,2.000
h1206,1.593
h1207,2.000
h1208,1.890
h1209,1.549
h1210,0.866
h1211,1.388
h1212,0.600
h1213,1.326
h1214,0.659
h1215,0.600
h1301,1.240
h1302,1.855
h1303,1.010
h1304,1.589
h1305,1.754
h1306,1.002
h1307,1.152
h1308,0.956
h1309,1.190
h1310,0.883
h1311,0.600
h1312,0.600
h1313,0.600
h1314,0.600
h1315,0.600
h1401,0.600
h1402,1.066
h1403,0.600
h1404,1.033
h1405,2.000
h1406,1.602
h1407,0.782
h1408,0.781
h1409,0.950
h1410,1.378
h1411,1.120
h1412,1.071
h1413,1.242
h1414,0.600
h1415,1.124
h1501,0.600
h1502,0.600
h1503,1.518
h1504,1.400
h1505,1.723
h1506,1.337
h1507,1.423
h1508,1.071
h1509,0.994
h1510,0.600
h1511,1.538
h1512,0.939
h1513,1.531
h1514,0.687
h1515,1.335
