name,value_mm
h0101,1.300
h0102,1.300
h0103,1.300
h0104,1.300
h0105,1.300
h0106,1.300
h0107,1.300
h0108,1.300
h0109,1.300
h0110,1.300
h0111,1.300
h0112,1.300
h0113,1.300
h0114,1.300
h0115,1.300
h0201,1.300
h0202,1.300
h0203,1.300
h0204,1.300
h0205,1.300
h0206,1.300
h0207,1.300
h0208,1.300
h0209,1.300
h0210,1.300
h0211,1.300
h0212,1.300
h0213,1.300
h0214,1.300
h0215,1.300
h0301,1.300
h0302,1.300
h0303,1.300
h0304,1.300
h0305,1.300
h0306,1.300
h0307,1.300
h0308,1.300
h0309,1.300
h0310,1.300
h0311,1.300
h0312,1.300
h0313,1.300
h0314,1.300
h0315,1.300
h0401,1.300
h0402,1.300
h0403,1.301
h0404,1.308
h0405,1.307
h0406,1.308
h0407,1.306
h0408,1.300
h0409,1.307
h0410,1.308
h0411,1.307
h0412,1.303
h0413,1.300
h0414,1.300
h0415,1.300
h0501,1.300
h0502,1.300
h0503,1.366
h0504,1.990
h0505,1.962
h0506,1.990
h0507,1.853
h0508,1.515
h0509,1.962
h0510,1.990
h0511,1.962
h0512,1.918
h0513,1.359
h0514,1.300
h0515,1.300
h0601,1.300
h0602,1.300
h0603,1.367
h0604,2.000
h0605,2.000
h0606,2.000
h0607,1.861
h0608,2.000
h0609,2.000
h0610,2.000
h0611,2.000
h0612,2.000
h0613,1.367
h0614,1.300
h0615,1.300
h0701,1.300
h0702,1.300
h0703,1.301
h0704,1.367
h0705,2.000
h0706,1.795
h0707,1.918
h0708,2.000
h0709,1.845
h0710,1.329
h0711,1.918
h0712,2.000
h0713,1.367
h0714,1.300
h0715,1.300
h0801,1.300
h0802,1.300
h0803,1.300
h0804,1.367
h0805,2.000
h0806,1.795
h0807,1.737
h0808,2.000
h0809,1.374
h0810,1.300
h0811,1.367
h0812,1.395
h0813,1.309
h0814,1.300
h0815,1.300
h0901,1.300
h0902,1.300
h0903,1.301
h0904,1.367
h0905,2.000
h0906,1.795
h0907,1.861
h0908,2.000
h0909,1.749
h0910,1.334
h0911,1.795
h0912,1.918
h0913,1.341
h0914,1.300
h0915,1.300
h1001,1.300
h1002,1.300
h1003,1.346
h1004,2.000
h1005,2.000
h1006,2.000
h1007,1.795
h1008,2.000
h1009,2.000
h1010,2.000
h1011,2.000
h1012,2.000
h1013,1.346
h1014,1.300
h1015,1.300
h1101,1.300
h1102,1.300
h1103,1.345
h1104,1.990
h1105,1.962
h1106,1.990
h1107,1.788
h1108,1.613
h1109,1.962
h1110,1.990
h1111,1.962
h1112,1.530
h1113,1.302
h1114,1.300
h1115,1.300
h1201,1.300
h1202,1.300
h1203,1.301
h1204,1.308
h1205,1.306
h1206,1.308
h1207,1.305
h1208,1.301
h1209,1.305
h1210,1.308
h1211,1.305
h1212,1.300
h1213,1.300
h1214,1.300
h1215,1.300
h1301,1.300
h1302,1.300
h1303,1.300
h1304,1.300
h1305,1.300
h1306,1.300
h1307,1.300
h1308,1.300
h1309,1.300
h1310,1.300
h1311,1.300
h1312,1.300
h1313,1.300
h1314,1.300
h1315,1.300
h1401,1.300
h1402,1.300
h1403,1.300
h1404,1.300
h1405,1.300
h1406,1.300
h1407,1.300
h1408,1.300
h1409,1.300
h1410,1.300
h1411,1.300
h1412,1.300
h1413,1.300
h1414,1.300
h1415,1.300
h1501,1.300
h1502,1.300
h1503,1.300
h1504,1.300
h1505,1.300
h1506,1.300
h1507,1.300
h1508,1.300
h1509,1.300
h1510,1.300
h1511,1.300
h1512,1.300
h1513,1.300
h1514,1.300
h1515,1.300
