name,value_mm
h0101,1.300
h0102,1.300
h0103,1.300
h0104,1.300
h0105,1.300
h0106,1.300
h0107,1.300
h0108,1.300
h0109,1.300
h0110,1.300
h0111,1.300
h0112,1.300
h0113,1.300
h0114,1.300
h0115,1.300
h0201,1.300
h0202,1.300
h0203,1.300
h0204,1.300
h0205,1.300
h0206,1.300
h0207,1.300
h0208,1.300
h0209,1.300
h0210,1.300
h0211,1.300
h0212,1.300
h0213,1.300
h0214,1.300
h0215,1.300
h0301,1.300
h0302,1.300
h0303,1.300
h0304,1.300
h0305,1.300
h0306,1.300
h0307,1.300
h0308,1.300
h0309,1.300
h0310,1.300
h0311,1.300
h0312,1.300
h0313,1.300
h0314,1.300
h0315,1.300
h0401,1.300
h0402,1.300
h0403,1.299
h0404,1.292
h0405,1.293
h0406,1.292
h0407,1.294
h0408,1.300
h0409,1.293
h0410,1.292
h0411,1.293
h0412,1.297
h0413,1.300
h0414,1.300
h0415,1.300
h0501,1.300
h0502,1.300
h0503,1.234
h0504,0.610
h0505,0.638
h0506,0.610
h0507,0.747
h0508,1.085
h0509,0.638
h0510,0.610
h0511,0.638
h0512,0.682
h0513,1.241
h0514,1.300
h0515,1.300
h0601,1.300
h0602,1.300
h0603,1.233
h0604,0.600
h0605,0.600
h0606,0.600
h0607,0.739
h0608,0.600
h0609,0.600
h0610,0.600
h0611,0.600
h0612,0.600
h0613,1.233
h0614,1.300
h0615,1.300
h0701,1.300
h0702,1.300
h0703,1.299
h0704,1.233
h0705,0.600
h0706,0.805
h0707,0.682
h0708,1.000
h0709,0.755
h0710,1.271
h0711,0.682
h0712,0.600
h0713,1.233
h0714,1.300
h0715,1.300
h0801,1.300
h0802,1.300
h0803,1.300
h0804,1.233
h0805,0.600
h0806,0.805
h0807,1.000
h0808,2.000
h0809,1.226
h0810,1.300
h0811,1.233
h0812,1.205
h0813,1.291
h0814,1.300
h0815,1.300
h0901,1.300
h0902,1.300
h0903,1.299
h0904,1.233
h0905,0.600
h0906,0.805
h0907,0.739
h0908,1.000
h0909,0.851
h0910,1.266
h0911,0.805
h0912,0.682
h0913,1.259
h0914,1.300
h0915,1.300
h1001,1.300
h1002,1.300
h1003,1.254
h1004,0.600
h1005,0.600
h1006,0.600
h1007,0.805
h1008,0.600
h1009,0.600
h1010,0.600
h1011,0.600
h1012,0.600
h1013,1.254
h1014,1.300
h1015,1.300
h1101,1.300
h1102,1.300
h1103,1.255
h1104,0.610
h1105,0.638
h1106,0.610
h1107,0.812
h1108,0.987
h1109,0.638
h1110,0.610
h1111,0.638
h1112,1.070
h1113,1.298
h1114,1.300
h1115,1.300
h1201,1.300
h1202,1.300
h1203,1.299
h1204,1.292
h1205,1.294
h1206,1.292
h1207,1.295
h1208,1.299
h1209,1.295
h1210,1.292
h1211,1.295
h1212,1.300
h1213,1.300
h1214,1.300
h1215,1.300
h1301,1.300
h1302,1.300
h1303,1.300
h1304,1.300
h1305,1.300
h1306,1.300
h1307,1.300
h1308,1.300
h1309,1.300
h1310,1.300
h1311,1.300
h1312,1.300
h1313,1.300
h1314,1.300
h1315,1.300
h1401,1.300
h1402,1.300
h1403,1.300
h1404,1.300
h1405,1.300
h1406,1.300
h1407,1.300
h1408,1.300
h1409,1.300
h1410,1.300
h1411,1.300
h1412,1.300
h1413,1.300
h1414,1.300
h1415,1.300
h1501,1.300
h1502,1.300
h1503,1.300
h1504,1.300
h1505,1.300
h1506,1.300
h1507,1.300
h1508,1.300
h1509,1.300
h1510,1.300
h1511,1.300
h1512,1.300
h1513,1.300
h1514,1.300
h1515,1.300
