name,value_mm
h0101,1.300
h0102,1.300
h0103,1.300
h0104,1.300
h0105,1.300
h0106,1.300
h0107,1.300
h0108,1.300
h0109,1.300
h0110,1.300
h0111,1.300
h0112,1.300
h0113,1.300
h0114,1.300
h0115,1.300
h0201,1.300
h0202,1.300
h0203,1.301
h0204,1.302
h0205,1.302
h0206,1.302
h0207,1.301
h0208,1.300
h0209,1.302
h0210,1.302
h0211,1.302
h0212,1.301
h0213,1.300
h0214,1.300
h0215,1.300
h0301,1.300
h0302,1.302
h0303,1.358
h0304,1.398
h0305,1.397
h0306,1.399
h0307,1.394
h0308,1.350
h0309,1.397
h0310,1.399
h0311,1.396
h0312,1.379
h0313,1.343
h0314,1.301
h0315,1.300
h0401,1.302
h0402,1.369
h0403,1.645
h0404,1.619
h0405,1.674
h0406,1.619
h0407,1.769
h0408,1.707
h0409,1.675
h0410,1.619
h0411,1.675
h0412,1.733
h0413,1.591
h0414,1.353
h0415,1.301
h0501,1.309
h0502,1.440
h0503,1.619
h0504,0.619
h0505,0.674
h0506,0.619
h0507,0.891
h0508,1.529
h0509,0.675
h0510,0.619
h0511,0.675
h0512,0.761
h0513,1.735
h0514,1.438
h0515,1.309
h0601,1.309
h0602,1.440
h0603,1.600
h0604,0.818
h0605,0.600
h0606,0.600
h0607,0.879
h0608,0.600
h0609,0.600
h0610,0.874
h0611,0.600
h0612,0.779
h0613,1.779
h0614,1.447
h0615,1.309
h0701,1.302
h0702,1.377
h0703,1.685
h0704,1.600
h0705,0.600
h0706,1.008
h0707,0.763
h0708,1.000
h0709,0.906
h0710,1.764
h0711,0.803
h0712,0.801
h0713,1.769
h0714,1.443
h0715,1.309
h0801,1.300
h0802,1.312
h0803,1.549
h0804,1.600
h0805,0.600
h0806,1.008
h0807,1.127
h0808,2.000
h0809,1.790
h0810,1.813
h0811,1.803
h0812,1.765
h0813,1.853
h0814,1.420
h0815,1.304
h0901,1.301
h0902,1.368
h0903,1.673
h0904,1.600
h0905,0.600
h0906,1.008
h0907,0.877
h0908,1.000
h0909,1.099
h0910,1.600
h0911,1.010
h0912,0.815
h0913,1.815
h0914,1.433
h0915,1.306
h1001,1.307
h1002,1.431
h1003,1.600
h1004,0.600
h1005,0.600
h1006,0.600
h1007,1.011
h1008,0.600
h1009,0.600
h1010,0.600
h1011,0.600
h1012,0.786
h1013,1.786
h1014,1.431
h1015,1.307
h1101,1.307
h1102,1.430
h1103,1.619
h1104,0.776
h1105,0.814
h1106,0.811
h1107,1.019
h1108,1.344
h1109,0.769
h1110,0.807
h1111,0.755
h1112,1.475
h1113,1.707
h1114,1.385
h1115,1.302
h1201,1.301
h1202,1.360
h1203,1.631
h1204,1.776
h1205,1.814
h1206,1.811
h1207,1.769
h1208,1.710
h1209,1.769
h1210,1.807
h1211,1.755
h1212,1.605
h1213,1.427
h1214,1.306
h1215,1.300
h1301,1.300
h1302,1.302
h1303,1.353
h1304,1.398
h1305,1.395
h1306,1.399
h1307,1.392
h1308,1.354
h1309,1.392
h1310,1.398
h1311,1.389
h1312,1.344
h1313,1.305
h1314,1.300
h1315,1.300
h1401,1.300
h1402,1.300
h1403,1.301
h1404,1.302
h1405,1.301
h1406,1.302
h1407,1.301
h1408,1.300
h1409,1.301
h1410,1.302
h1411,1.301
h1412,1.300
h1413,1.300
h1414,1.300
h1415,1.300
h1501,1.300
h1502,1.300
h1503,1.300
h1504,1.300
h1505,1.300
h1506,1.300
h1507,1.300
h1508,1.300
h1509,1.300
h1510,1.300
h1511,1.300
h1512,1.300
h1513,1.300
h1514,1.300
h1515,1.300
