name,value_mm
h0101,1.800
h0102,1.760
h0103,2.000
h0104,2.000
h0105,2.000
h0106,2.000
h0107,2.000
h0108,2.000
h0109,2.000
h0110,2.000
h0111,1.999
h0112,1.989
h0113,1.977
h0114,1.639
h0115,0.644
h0201,1.760
h0202,1.998
h0203,1.991
h0204,2.000
h0205,2.000
h0206,2.000
h0207,2.000
h0208,2.000
h0209,2.000
h0210,2.000
h0211,1.999
h0212,1.988
h0213,2.000
h0214,2.000
h0215,1.642
h0301,1.970
h0302,1.987
h0303,2.000
h0304,2.000
h0305,2.000
h0306,2.000
h0307,2.000
h0308,2.000
h0309,2.000
h0310,2.000
h0311,1.999
h0312,1.985
h0313,1.981
h0314,2.000
h0315,1.942
h0401,2.000
h0402,2.000
h0403,2.000
h0404,1.953
h0405,1.582
h0406,1.996
h0407,2.000
h0408,2.000
h0409,2.000
h0410,2.000
h0411,1.999
h0412,1.979
h0413,1.963
h0414,1.956
h0415,1.883
h0501,1.720
h0502,2.000
h0503,2.000
h0504,1.631
h0505,1.800
h0506,1.967
h0507,2.000
h0508,2.000
h0509,2.000
h0510,2.000
h0511,2.000
h0512,1.904
h0513,1.917
h0514,1.931
h0515,1.804
h0601,1.243
h0602,2.000
h0603,2.000
h0604,1.935
h0605,1.638
h0606,1.997
h0607,1.961
h0608,1.878
h0609,1.970
h0610,2.000
h0611,2.000
h0612,1.371
h0613,1.867
h0614,1.914
h0615,1.848
h0701,2.000
h0702,2.000
h0703,2.000
h0704,2.000
h0705,1.986
h0706,2.000
h0707,2.000
h0708,2.000
h0709,2.000
h0710,2.000
h0711,2.000
h0712,1.873
h0713,1.881
h0714,1.915
h0715,1.846
h0801,2.000
h0802,2.000
h0803,2.000
h0804,2.000
h0805,2.000
h0806,2.000
h0807,2.000
h0808,2.000
h0809,1.400
h0810,2.000
h0811,1.770
h0812,1.673
h0813,1.763
h0814,1.872
h0815,1.784
h0901,2.000
h0902,2.000
h0903,2.000
h0904,2.000
h0905,2.000
h0906,1.999
h0907,1.999
h0908,1.142
h0909,0.798
h0910,1.012
h0911,2.000
h0912,1.887
h0913,1.063
h0914,1.277
h0915,1.443
h1001,2.000
h1002,2.000
h1003,2.000
h1004,2.000
h1005,2.000
h1006,2.000
h1007,1.725
h1008,1.369
h1009,1.015
h1010,2.000
h1011,2.000
h1012,2.000
h1013,1.994
h1014,1.969
h1015,1.800
h1101,2.000
h1102,2.000
h1103,2.000
h1104,2.000
h1105,2.000
h1106,1.730
h1107,0.732
h1108,1.368
h1109,2.000
h1110,2.000
h1111,2.000
h1112,2.000
h1113,2.000
h1114,1.999
h1115,1.998
h1201,1.995
h1202,1.987
h1203,1.998
h1204,1.997
h1205,1.993
h1206,1.267
h1207,0.797
h1208,1.028
h1209,2.000
h1210,2.000
h1211,2.000
h1212,2.000
h1213,2.000
h1214,1.988
h1215,1.994
h1301,1.511
h1302,1.798
h1303,1.960
h1304,1.997
h1305,1.993
h1306,1.904
h1307,1.610
h1308,1.358
h1309,1.934
h1310,2.000
h1311,2.000
h1312,2.000
h1313,2.000
h1314,1.960
h1315,1.958
h1401,0.707
h1402,1.705
h1403,2.000
h1404,1.999
h1405,1.995
h1406,1.932
h1407,1.819
h1408,1.579
h1409,1.929
h1410,1.999
h1411,2.000
h1412,2.000
h1413,1.999
h1414,1.998
h1415,1.684
h1501,0.613
h1502,1.092
h1503,1.947
h1504,1.996
h1505,1.990
h1506,1.833
h1507,1.590
h1508,0.789
h1509,0.999
h1510,1.971
h1511,2.000
h1512,2.000
h1513,2.000
h1514,1.684
h1515,0.689
