name,value_mm
h0101,0.600
h0102,1.494
h0103,1.054
h0104,1.038
h0105,0.600
h0106,0.890
h0107,0.600
h0108,0.713
h0109,0.600
h0110,1.016
h0111,1.405
h0112,1.227
h0113,0.600
h0114,0.600
h0115,0.600
h0201,1.203
h0202,2.000
h0203,1.293
h0204,0.621
h0205,0.641
h0206,1.124
h0207,0.600
h0208,0.600
h0209,1.554
h0210,0.600
h0211,1.578
h0212,1.344
h0213,1.493
h0214,0.600
h0215,0.600
h0301,1.005
h0302,2.000
h0303,1.106
h0304,1.516
h0305,1.300
h0306,1.000
h0307,0.600
h0308,0.900
h0309,1.667
h0310,1.593
h0311,1.321
h0312,0.946
h0313,0.805
h0314,0.600
h0315,1.548
h0401,0.600
h0402,1.299
h0403,2.000
h0404,1.712
h0405,1.602
h0406,1.575
h0407,0.600
h0408,0.600
h0409,1.270
h0410,1.990
h0411,2.000
h0412,1.221
h0413,1.467
h0414,0.600
h0415,0.600
h0501,1.006
h0502,0.600
h0503,1.127
h0504,1.599
h0505,1.630
h0506,1.567
h0507,1.228
h0508,1.239
h0509,2.000
h0510,1.351
h0511,1.566
h0512,1.468
h0513,0.600
h0514,0.600
h0515,1.078
h0601,1.285
h0602,0.600
h0603,0.600
h0604,0.600
h0605,1.295
h0606,1.262
h0607,0.671
h0608,1.338
h0609,1.587
h0610,1.347
h0611,0.600
h0612,1.270
h0613,1.494
h0614,0.600
h0615,1.163
h0701,0.685
h0702,0.600
h0703,0.600
h0704,1.421
h0705,0.600
h0706,1.259
h0707,1.034
h0708,1.155
h0709,2.000
h0710,1.530
h0711,0.600
h0712,0.600
h0713,0.600
h0714,0.684
h0715,0.720
h0801,0.716
h0802,0.600
h0803,0.600
h0804,0.600
h0805,0.600
h0806,1.544
h0807,2.000
h0808,2.000
h0809,1.775
h0810,0.890
h0811,0.600
h0812,0.600
h0813,0.600
h0814,0.790
h0815,1.462
h0901,0.600
h0902,0.600
h0903,1.000
h0904,0.600
h0905,1.300
h0906,1.599
h0907,2.000
h0908,2.000
h0909,1.400
h0910,1.452
h0911,0.600
h0912,0.600
h0913,1.367
h0914,0.600
h0915,1.431
h1001,0.600
h1002,1.000
h1003,2.000
h1004,1.430
h1005,2.000
h1006,2.000
h1007,2.000
h1008,1.538
h1009,0.600
h1010,0.600
h1011,0.775
h1012,1.032
h1013,0.600
h1014,0.666
h1015,0.600
h1101,0.600
h1102,1.062
h1103,1.536
h1104,2.000
h1105,2.000
h1106,1.622
h1107,1.278
h1108,0.600
h1109,1.379
h1110,1.349
h1111,1.167
h1112,0.600
h1113,1.005
h1114,0.889
h1115,1.311
h1201,1.261
h1202,1.400
h1203,2.000
h1204,2.000
h1205,1.912
h1206,2.000
h1207,1.591
h1208,0.627
h1209,1.079
h1210,0.600
h1211,0.634
h1212,1.090
h1213,1.729
h1214,1.273
h1215,0.600
h1301,1.045
h1302,2.000
h1303,1.400
h1304,2.000
h1305,2.000
h1306,1.721
h1307,1.598
h1308,0.600
h1309,1.041
h1310,1.579
h1311,1.258
h1312,2.000
h1313,2.000
h1314,1.490
h1315,0.657
h1401,0.600
h1402,1.154
h1403,0.600
h1404,1.560
h1405,2.000
h1406,1.400
h1407,0.600
h1408,0.600
h1409,1.507
h1410,0.877
h1411,1.540
h1412,1.589
h1413,1.822
h1414,2.000
h1415,1.526
h1501,0.969
h1502,1.397
h1503,0.769
h1504,1.728
h1505,2.000
h1506,2.000
h1507,1.468
h1508,0.600
h1509,0.600
h1510,1.062
h1511,1.448
h1512,0.724
h1513,1.024
h1514,1.026
h1515,0.842
