name,value_mm
h0101,0.600
h0102,0.600
h0103,0.600
h0104,0.600
h0105,1.454
h0106,0.842
h0107,0.617
h0108,0.600
h0109,0.600
h0110,0.600
h0111,1.190
h0112,0.600
h0113,1.430
h0114,0.600
h0115,0.915
h0201,0.600
h0202,1.281
h0203,0.892
h0204,1.300
h0205,1.676
h0206,1.560
h0207,0.600
h0208,1.572
h0209,0.842
h0210,0.797
h0211,0.600
h0212,0.786
h0213,0.846
h0214,0.600
h0215,0.682
h0301,0.600
h0302,0.600
h0303,1.578
h0304,1.747
h0305,0.958
h0306,1.936
h0307,0.951
h0308,1.340
h0309,1.297
h0310,1.724
h0311,1.300
h0312,1.012
h0313,1.489
h0314,0.600
h0315,1.008
h0401,0.600
h0402,0.600
h0403,0.600
h0404,1.545
h0405,0.813
h0406,1.417
h0407,0.770
h0408,0.600
h0409,1.580
h0410,1.988
h0411,2.000
h0412,1.506
h0413,0.600
h0414,1.258
h0415,1.405
h0501,0.600
h0502,0.600
h0503,0.600
h0504,0.600
h0505,1.000
h0506,1.811
h0507,1.031
h0508,0.600
h0509,1.236
h0510,1.551
h0511,1.105
h0512,1.035
h0513,0.600
h0514,0.600
h0515,0.600
h0601,0.600
h0602,1.176
h0603,0.600
h0604,0.600
h0605,0.877
h0606,1.865
h0607,1.467
h0608,1.573
h0609,1.854
h0610,1.400
h0611,1.564
h0612,1.594
h0613,1.033
h0614,0.600
h0615,0.600
h0701,0.600
h0702,0.600
h0703,0.600
h0704,0.600
h0705,1.005
h0706,2.000
h0707,1.400
h0708,1.800
h0709,1.729
h0710,1.340
h0711,0.600
h0712,0.689
h0713,0.786
h0714,0.600
h0715,0.600
h0801,0.987
h0802,0.600
h0803,1.573
h0804,0.600
h0805,0.600
h0806,1.579
h0807,1.837
h0808,2.000
h0809,1.368
h0810,0.815
h0811,0.785
h0812,1.171
h0813,0.600
h0814,0.683
h0815,1.009
h0901,0.600
h0902,0.600
h0903,1.570
h0904,1.313
h0905,0.600
h0906,1.559
h0907,1.949
h0908,2.000
h0909,2.000
h0910,1.565
h0911,1.411
h0912,1.687
h0913,1.589
h0914,1.509
h0915,1.000
h1001,0.600
h1002,0.600
h1003,1.467
h1004,1.767
h1005,1.013
h1006,2.000
h1007,1.400
h1008,1.597
h1009,1.300
h1010,0.600
h1011,1.553
h1012,2.000
h1013,2.000
h1014,1.453
h1015,0.600
h1101,0.600
h1102,0.612
h1103,1.007
h1104,2.000
h1105,2.000
h1106,1.474
h1107,0.600
h1108,0.600
h1109,1.054
h1110,1.460
h1111,1.462
h1112,1.583
h1113,1.293
h1114,0.925
h1115,0.950
h1201,0.600
h1202,0.600
h1203,1.574
h1204,1.765
h1205,1.004
h1206,1.576
h1207,0.600
h1208,0.600
h1209,0.600
h1210,1.428
h1211,0.600
h1212,1.060
h1213,1.582
h1214,0.600
h1215,0.600
h1301,0.862
h1302,1.389
h1303,1.450
h1304,1.045
h1305,0.600
h1306,0.707
h1307,1.490
h1308,0.600
h1309,0.600
h1310,1.495
h1311,0.600
h1312,0.600
h1313,1.574
h1314,1.261
h1315,0.600
h1401,1.121
h1402,1.300
h1403,1.603
h1404,1.464
h1405,0.600
h1406,0.600
h1407,0.600
h1408,0.600
h1409,1.461
h1410,0.600
h1411,0.600
h1412,0.600
h1413,0.955
h1414,0.941
h1415,1.000
h1501,0.642
h1502,0.600
h1503,1.176
h1504,0.600
h1505,0.600
h1506,1.402
h1507,0.600
h1508,0.600
h1509,1.071
h1510,0.792
h1511,0.600
h1512,0.600
h1513,0.768
h1514,1.500
h1515,1.746
