name,value_mm
h0101,0.600
h0102,0.600
h0103,0.600
h0104,0.600
h0105,0.600
h0106,0.600
h0107,0.664
h0108,0.600
h0109,0.600
h0110,0.600
h0111,0.600
h0112,0.974
h0113,0.600
h0114,0.600
h0115,0.600
h0201,0.600
h0202,0.600
h0203,0.600
h0204,0.600
h0205,0.600
h0206,0.875
h0207,0.600
h0208,0.600
h0209,1.000
h0210,0.600
h0211,0.600
h0212,1.533
h0213,1.101
h0214,0.600
h0215,0.600
h0301,0.600
h0302,1.214
h0303,0.600
h0304,0.681
h0305,0.600
h0306,0.600
h0307,1.058
h0308,1.104
h0309,2.000
h0310,1.419
h0311,0.600
h0312,0.600
h0313,1.438
h0314,1.196
h0315,1.570
h0401,0.600
h0402,0.600
h0403,0.600
h0404,0.600
h0405,0.600
h0406,0.600
h0407,0.600
h0408,0.600
h0409,1.245
h0410,1.582
h0411,0.600
h0412,0.754
h0413,1.283
h0414,0.600
h0415,1.301
h0501,0.600
h0502,0.600
h0503,0.749
h0504,1.581
h0505,0.620
h0506,0.600
h0507,0.836
h0508,1.300
h0509,2.000
h0510,1.713
h0511,1.271
h0512,1.733
h0513,1.063
h0514,0.600
h0515,0.600
h0601,0.600
h0602,0.600
h0603,0.600
h0604,0.820
h0605,0.600
h0606,1.007
h0607,0.600
h0608,1.538
h0609,2.000
h0610,1.004
h0611,0.631
h0612,0.900
h0613,0.600
h0614,0.600
h0615,0.600
h0701,0.600
h0702,0.600
h0703,0.600
h0704,0.600
h0705,0.600
h0706,0.602
h0707,1.300
h0708,2.000
h0709,2.000
h0710,1.415
h0711,0.969
h0712,0.600
h0713,0.600
h0714,0.600
h0715,0.931
h0801,0.600
h0802,0.600
h0803,0.600
h0804,0.600
h0805,0.774
h0806,0.843
h0807,1.796
h0808,2.000
h0809,2.000
h0810,1.300
h0811,0.605
h0812,0.600
h0813,0.600
h0814,0.600
h0815,0.600
h0901,0.600
h0902,0.600
h0903,0.600
h0904,1.359
h0905,0.600
h0906,0.600
h0907,1.565
h0908,2.000
h0909,1.867
h0910,0.892
h0911,0.600
h0912,0.600
h0913,0.600
h0914,0.798
h0915,1.170
h1001,0.600
h1002,0.600
h1003,1.078
h1004,0.896
h1005,0.600
h1006,0.600
h1007,0.983
h1008,1.591
h1009,1.156
h1010,1.300
h1011,0.600
h1012,0.600
h1013,0.600
h1014,0.600
h1015,0.600
h1101,1.263
h1102,0.878
h1103,1.175
h1104,1.147
h1105,0.823
h1106,0.600
h1107,0.600
h1108,0.600
h1109,1.561
h1110,2.000
h1111,1.549
h1112,1.592
h1113,1.194
h1114,0.600
h1115,0.600
h1201,1.408
h1202,1.482
h1203,2.000
h1204,1.400
h1205,0.980
h1206,1.570
h1207,0.603
h1208,0.600
h1209,1.594
h1210,1.704
h1211,2.000
h1212,2.000
h1213,2.000
h1214,1.566
h1215,0.600
h1301,1.608
h1302,1.300
h1303,1.437
h1304,2.000
h1305,1.195
h1306,0.600
h1307,0.832
h1308,1.536
h1309,1.297
h1310,1.543
h1311,2.000
h1312,2.000
h1313,1.400
h1314,0.600
h1315,1.000
h1401,0.783
h1402,0.600
h1403,0.600
h1404,1.011
h1405,1.204
h1406,1.000
h1407,0.600
h1408,0.600
h1409,0.600
h1410,1.202
h1411,1.406
h1412,1.927
h1413,2.000
h1414,1.031
h1415,2.000
h1501,1.210
h1502,0.814
h1503,0.923
h1504,1.838
h1505,1.528
h1506,1.000
h1507,0.600
h1508,0.600
h1509,0.600
h1510,0.600
h1511,1.520
h1512,1.044
h1513,1.882
h1514,1.082
h1515,1.836
