name,value_mm
h0101,0.600
h0102,0.600
h0103,0.600
h0104,0.600
h0105,1.018
h0106,2.000
h0107,1.765
h0108,1.300
h0109,1.363
h0110,1.070
h0111,1.362
h0112,1.000
h0113,0.600
h0114,0.600
h0115,0.600
h0201,0.600
h0202,0.600
h0203,0.600
h0204,0.666
h0205,0.600
h0206,1.594
h0207,1.239
h0208,1.400
h0209,1.616
h0210,1.452
h0211,1.639
h0212,1.003
h0213,0.600
h0214,0.600
h0215,0.600
h0301,0.702
h0302,0.600
h0303,1.390
h0304,0.600
h0305,0.721
h0306,0.993
h0307,0.600
h0308,1.498
h0309,1.548
h0310,1.599
h0311,0.713
h0312,1.183
h0313,1.414
h0314,0.600
h0315,0.600
h0401,0.600
h0402,1.362
h0403,1.022
h0404,0.600
h0405,1.000
h0406,1.017
h0407,0.600
h0408,1.478
h0409,0.600
h0410,0.600
h0411,1.597
h0412,0.600
h0413,1.505
h0414,0.600
h0415,1.248
h0501,0.912
h0502,1.280
h0503,1.143
h0504,1.552
h0505,1.601
h0506,2.000
h0507,1.542
h0508,0.600
h0509,1.300
h0510,1.594
h0511,1.082
h0512,1.599
h0513,0.990
h0514,1.117
h0515,1.950
h0601,1.596
h0602,0.600
h0603,0.600
h0604,1.382
h0605,2.000
h0606,2.000
h0607,2.000
h0608,1.593
h0609,2.000
h0610,2.000
h0611,2.000
h0612,2.000
h0613,1.697
h0614,1.123
h0615,1.953
h0701,1.664
h0702,1.134
h0703,0.600
h0704,1.599
h0705,1.111
h0706,1.516
h0707,2.000
h0708,2.000
h0709,2.000
h0710,1.020
h0711,1.729
h0712,1.468
h0713,0.788
h0714,0.600
h0715,1.106
h0801,1.518
h0802,1.000
h0803,0.600
h0804,0.600
h0805,0.600
h0806,1.006
h0807,2.000
h0808,2.000
h0809,1.417
h0810,1.177
h0811,0.731
h0812,1.315
h0813,0.600
h0814,0.729
h0815,1.361
h0901,1.450
h0902,1.039
h0903,0.600
h0904,0.600
h0905,1.000
h0906,1.049
h0907,2.000
h0908,2.000
h0909,1.353
h0910,1.400
h0911,1.066
h0912,1.350
h0913,1.285
h0914,1.118
h0915,0.600
h1001,1.330
h1002,2.000
h1003,1.109
h1004,1.457
h1005,2.000
h1006,2.000
h1007,1.858
h1008,2.000
h1009,2.000
h1010,2.000
h1011,2.000
h1012,1.594
h1013,1.400
h1014,1.543
h1015,1.471
h1101,1.873
h1102,2.000
h1103,1.939
h1104,1.694
h1105,2.000
h1106,2.000
h1107,1.346
h1108,1.509
h1109,1.400
h1110,2.000
h1111,2.000
h1112,1.236
h1113,1.610
h1114,2.000
h1115,1.830
h1201,1.261
h1202,2.000
h1203,2.000
h1204,1.620
h1205,1.617
h1206,2.000
h1207,1.505
h1208,0.600
h1209,0.600
h1210,1.339
h1211,1.412
h1212,1.324
h1213,1.730
h1214,2.000
h1215,1.556
h1301,1.890
h1302,1.696
h1303,2.000
h1304,1.400
h1305,1.451
h1306,1.482
h1307,1.047
h1308,1.300
h1309,1.523
h1310,1.106
h1311,1.261
h1312,2.000
h1313,1.040
h1314,1.592
h1315,0.600
h1401,1.000
h1402,0.715
h1403,1.600
h1404,0.600
h1405,1.203
h1406,0.801
h1407,1.526
h1408,2.000
h1409,1.018
h1410,1.518
h1411,1.300
h1412,1.599
h1413,1.256
h1414,0.600
h1415,0.600
h1501,0.612
h1502,0.696
h1503,0.765
h1504,1.512
h1505,1.494
h1506,0.600
h1507,1.136
h1508,1.231
h1509,0.600
h1510,0.600
h1511,0.600
h1512,0.600
h1513,0.600
h1514,0.600
h1515,0.600
