name,value_mm
h0101,0.600
h0102,0.600
h0103,0.600
h0104,0.600
h0105,0.600
h0106,1.046
h0107,0.850
h0108,1.595
h0109,0.600
h0110,0.600
h0111,1.000
h0112,0.800
h0113,0.600
h0114,0.649
h0115,0.600
h0201,0.600
h0202,0.600
h0203,0.600
h0204,0.722
h0205,0.646
h0206,0.900
h0207,1.184
h0208,1.020
h0209,1.007
h0210,0.724
h0211,0.600
h0212,0.600
h0213,0.600
h0214,0.600
h0215,0.600
h0301,0.600
h0302,0.600
h0303,1.539
h0304,0.600
h0305,1.162
h0306,0.600
h0307,0.600
h0308,1.581
h0309,2.000
h0310,1.426
h0311,0.817
h0312,0.600
h0313,1.590
h0314,0.600
h0315,0.600
h0401,0.600
h0402,0.993
h0403,0.839
h0404,0.600
h0405,0.600
h0406,1.307
h0407,0.600
h0408,0.600
h0409,1.082
h0410,0.600
h0411,1.393
h0412,1.000
h0413,1.300
h0414,0.600
h0415,1.429
h0501,0.721
h0502,1.419
h0503,1.790
h0504,1.586
h0505,1.593
h0506,2.000
h0507,1.530
h0508,0.600
h0509,1.300
h0510,1.583
h0511,1.397
h0512,2.000
h0513,1.602
h0514,0.899
h0515,0.988
h0601,0.989
h0602,1.314
h0603,1.474
h0604,1.646
h0605,2.000
h0606,1.298
h0607,2.000
h0608,1.559
h0609,1.610
h0610,1.317
h0611,1.663
h0612,2.000
h0613,1.592
h0614,0.600
h0615,1.013
h0701,0.600
h0702,1.015
h0703,1.300
h0704,1.300
h0705,1.088
h0706,1.317
h0707,2.000
h0708,2.000
h0709,1.400
h0710,0.985
h0711,1.581
h0712,1.508
h0713,1.287
h0714,0.600
h0715,1.282
h0801,0.966
h0802,1.518
h0803,0.600
h0804,0.600
h0805,0.600
h0806,1.232
h0807,2.000
h0808,2.000
h0809,1.744
h0810,1.565
h0811,0.600
h0812,1.584
h0813,0.929
h0814,1.374
h0815,0.600
h0901,0.600
h0902,1.400
h0903,1.317
h0904,0.600
h0905,0.600
h0906,1.187
h0907,1.965
h0908,2.000
h0909,1.400
h0910,0.600
h0911,0.944
h0912,1.016
h0913,1.067
h0914,0.836
h0915,1.372
h1001,1.400
h1002,2.000
h1003,1.582
h1004,1.496
h1005,1.258
h1006,1.386
h1007,1.116
h1008,1.400
h1009,2.000
h1010,1.244
h1011,1.870
h1012,1.245
h1013,1.210
h1014,0.600
h1015,0.600
h1101,1.506
h1102,2.000
h1103,2.000
h1104,2.000
h1105,1.645
h1106,2.000
h1107,1.182
h1108,0.600
h1109,1.015
h1110,2.000
h1111,1.432
h1112,1.302
h1113,0.713
h1114,1.578
h1115,0.600
h1201,1.762
h1202,1.914
h1203,2.000
h1204,2.000
h1205,1.057
h1206,1.300
h1207,1.558
h1208,0.600
h1209,0.600
h1210,1.407
h1211,1.719
h1212,0.804
h1213,0.906
h1214,1.480
h1215,0.600
h1301,1.043
h1302,1.301
h1303,2.000
h1304,1.400
h1305,1.580
h1306,0.600
h1307,0.600
h1308,0.600
h1309,1.363
h1310,0.600
h1311,0.918
h1312,1.801
h1313,0.874
h1314,0.600
h1315,0.600
h1401,0.800
h1402,0.659
h1403,1.300
h1404,1.400
h1405,1.597
h1406,1.598
h1407,0.875
h1408,1.329
h1409,1.518
h1410,1.031
h1411,1.574
h1412,1.025
h1413,1.460
h1414,0.600
h1415,0.600
h1501,0.600
h1502,0.600
h1503,1.579
h1504,1.823
h1505,1.813
h1506,1.612
h1507,0.895
h1508,1.883
h1509,1.368
h1510,0.600
h1511,0.600
h1512,0.600
h1513,0.865
h1514,1.340
h1515,0.600
