name,value_mm
h0101,0.600
h0102,0.600
h0103,1.031
h0104,0.639
h0105,0.912
h0106,1.235
h0107,1.240
h0108,1.967
h0109,1.102
h0110,1.052
h0111,1.776
h0112,1.490
h0113,0.819
h0114,0.600
h0115,0.600
h0201,0.600
h0202,1.143
h0203,1.100
h0204,1.440
h0205,1.487
h0206,1.413
h0207,0.778
h0208,1.097
h0209,1.358
h0210,1.230
h0211,1.464
h0212,0.600
h0213,1.038
h0214,0.698
h0215,0.600
h0301,1.222
h0302,0.933
h0303,0.600
h0304,0.786
h0305,0.839
h0306,1.245
h0307,1.300
h0308,2.000
h0309,2.000
h0310,1.605
h0311,1.525
h0312,0.600
h0313,1.027
h0314,0.937
h0315,0.600
h0401,0.600
h0402,0.827
h0403,0.709
h0404,0.739
h0405,0.600
h0406,1.232
h0407,1.000
h0408,2.000
h0409,1.284
h0410,1.520
h0411,1.571
h0412,1.153
h0413,0.950
h0414,0.600
h0415,0.763
h0501,0.821
h0502,1.813
h0503,1.129
h0504,1.345
h0505,1.599
h0506,1.853
h0507,1.380
h0508,2.000
h0509,1.879
h0510,1.707
h0511,1.301
h0512,1.589
h0513,0.942
h0514,0.600
h0515,0.812
h0601,1.203
h0602,1.755
h0603,0.836
h0604,1.552
h0605,1.726
h0606,2.000
h0607,1.548
h0608,1.296
h0609,1.918
h0610,1.734
h0611,1.226
h0612,2.000
h0613,1.268
h0614,0.600
h0615,1.377
h0701,0.886
h0702,0.759
h0703,0.600
h0704,1.006
h0705,0.868
h0706,1.001
h0707,2.000
h0708,2.000
h0709,1.860
h0710,1.265
h0711,1.792
h0712,1.296
h0713,1.728
h0714,0.943
h0715,1.297
h0801,1.097
h0802,1.506
h0803,0.797
h0804,1.432
h0805,1.301
h0806,0.952
h0807,1.887
h0808,2.000
h0809,1.300
h0810,0.600
h0811,1.390
h0812,1.468
h0813,1.047
h0814,1.011
h0815,1.110
h0901,0.759
h0902,1.223
h0903,1.795
h0904,1.471
h0905,0.705
h0906,0.600
h0907,1.600
h0908,1.390
h0909,0.600
h0910,0.600
h0911,1.344
h0912,1.901
h0913,1.523
h0914,1.332
h0915,1.062
h1001,1.260
h1002,1.058
h1003,1.481
h1004,1.646
h1005,1.551
h1006,1.543
h1007,0.809
h1008,1.746
h1009,1.574
h1010,1.397
h1011,2.000
h1012,2.000
h1013,1.730
h1014,1.102
h1015,0.708
h1101,1.320
h1102,1.340
h1103,1.774
h1104,2.000
h1105,2.000
h1106,1.992
h1107,1.319
h1108,1.574
h1109,2.000
h1110,2.000
h1111,2.000
h1112,1.701
h1113,1.727
h1114,1.353
h1115,1.131
h1201,1.131
h1202,1.698
h1203,1.666
h1204,1.518
h1205,1.183
h1206,0.996
h1207,0.723
h1208,1.008
h1209,1.431
h1210,1.455
h1211,1.079
h1212,1.330
h1213,1.708
h1214,0.798
h1215,1.030
h1301,1.367
h1302,0.987
h1303,1.456
h1304,1.000
h1305,0.600
h1306,0.813
h1307,0.600
h1308,0.600
h1309,0.855
h1310,0.600
h1311,0.600
h1312,0.678
h1313,0.794
h1314,0.814
h1315,0.691
h1401,0.674
h1402,0.600
h1403,1.136
h1404,0.613
h1405,0.600
h1406,0.600
h1407,0.600
h1408,1.282
h1409,0.753
h1410,0.753
h1411,0.600
h1412,0.759
h1413,0.600
h1414,0.600
h1415,0.600
h1501,0.600
h1502,0.685
h1503,0.600
h1504,0.600
h1505,1.153
h1506,1.436
h1507,0.623
h1508,1.480
h1509,1.116
h1510,0.600
h1511,0.704
h1512,0.600
h1513,0.600
h1514,0.602
h1515,0.600
