name,value_mm
h0101,0.600
h0102,0.961
h0103,0.997
h0104,0.730
h0105,1.040
h0106,1.145
h0107,0.872
h0108,0.980
h0109,0.807
h0110,1.455
h0111,1.197
h0112,1.303
h0113,0.600
h0114,0.846
h0115,0.600
h0201,1.000
h0202,1.174
h0203,1.223
h0204,1.339
h0205,1.401
h0206,0.680
h0207,0.600
h0208,1.141
h0209,1.057
h0210,0.645
h0211,0.600
h0212,0.600
h0213,0.600
h0214,0.692
h0215,0.600
h0301,1.600
h0302,0.740
h0303,0.641
h0304,0.600
h0305,0.716
h0306,0.964
h0307,1.052
h0308,1.668
h0309,1.902
h0310,1.622
h0311,1.373
h0312,0.600
h0313,0.615
h0314,0.747
h0315,0.600
h0401,0.884
h0402,0.736
h0403,1.066
h0404,0.600
h0405,1.000
h0406,1.270
h0407,1.080
h0408,2.000
h0409,1.661
h0410,1.509
h0411,1.569
h0412,1.165
h0413,0.600
h0414,0.600
h0415,0.872
h0501,0.751
h0502,1.709
h0503,1.499
h0504,1.286
h0505,1.600
h0506,1.865
h0507,1.352
h0508,1.782
h0509,1.718
h0510,1.256
h0511,1.716
h0512,1.849
h0513,1.301
h0514,0.600
h0515,0.656
h0601,1.014
h0602,2.000
h0603,1.005
h0604,1.564
h0605,1.276
h0606,0.995
h0607,1.660
h0608,1.469
h0609,1.303
h0610,1.987
h0611,2.000
h0612,2.000
h0613,1.531
h0614,0.640
h0615,1.333
h0701,0.800
h0702,1.335
h0703,0.959
h0704,1.581
h0705,1.028
h0706,1.447
h0707,2.000
h0708,2.000
h0709,1.888
h0710,1.155
h0711,1.290
h0712,1.120
h0713,1.910
h0714,1.154
h0715,1.384
h0801,1.259
h0802,1.696
h0803,1.865
h0804,1.521
h0805,1.191
h0806,1.248
h0807,1.924
h0808,2.000
h0809,1.030
h0810,0.600
h0811,1.128
h0812,1.401
h0813,0.979
h0814,0.920
h0815,0.872
h0901,0.600
h0902,1.594
h0903,1.897
h0904,1.642
h0905,1.264
h0906,1.128
h0907,1.400
h0908,1.818
h0909,0.831
h0910,0.724
h0911,1.349
h0912,1.890
h0913,1.186
h0914,1.186
h0915,0.984
h1001,1.167
h1002,1.539
h1003,2.000
h1004,1.800
h1005,1.348
h1006,1.403
h1007,1.400
h1008,1.607
h1009,1.816
h1010,1.360
h1011,2.000
h1012,2.000
h1013,2.000
h1014,1.175
h1015,0.858
h1101,0.964
h1102,1.168
h1103,1.469
h1104,1.400
h1105,2.000
h1106,1.441
h1107,1.599
h1108,1.820
h1109,2.000
h1110,1.836
h1111,2.000
h1112,1.400
h1113,1.353
h1114,1.164
h1115,0.997
h1201,1.142
h1202,1.429
h1203,1.453
h1204,0.827
h1205,1.014
h1206,0.904
h1207,1.387
h1208,1.477
h1209,1.378
h1210,1.677
h1211,1.273
h1212,0.884
h1213,1.490
h1214,0.600
h1215,0.652
h1301,1.038
h1302,0.671
h1303,0.826
h1304,0.780
h1305,0.600
h1306,1.328
h1307,0.703
h1308,0.729
h1309,1.134
h1310,0.678
h1311,0.600
h1312,0.600
h1313,0.600
h1314,1.071
h1315,0.981
h1401,0.623
h1402,0.600
h1403,1.432
h1404,0.600
h1405,0.600
h1406,1.278
h1407,0.946
h1408,1.062
h1409,0.797
h1410,1.080
h1411,0.600
h1412,0.600
h1413,0.600
h1414,0.600
h1415,0.600
h1501,0.600
h1502,0.868
h1503,1.204
h1504,0.600
h1505,0.650
h1506,1.479
h1507,0.600
h1508,1.545
h1509,1.431
h1510,0.600
h1511,0.600
h1512,0.600
h1513,0.600
h1514,0.600
h1515,0.600
