name,value_mm
h0101,0.600
h0102,1.000
h0103,2.000
h0104,1.679
h0105,2.000
h0106,1.588
h0107,1.300
h0108,1.400
h0109,1.358
h0110,1.003
h0111,1.557
h0112,1.073
h0113,1.300
h0114,1.002
h0115,0.600
h0201,1.245
h0202,1.400
h0203,1.718
h0204,1.111
h0205,1.224
h0206,0.600
h0207,1.390
h0208,1.738
h0209,1.363
h0210,1.397
h0211,0.984
h0212,1.597
h0213,1.885
h0214,1.663
h0215,1.414
h0301,1.999
h0302,1.466
h0303,1.062
h0304,1.300
h0305,1.400
h0306,1.544
h0307,2.000
h0308,1.575
h0309,0.821
h0310,1.315
h0311,1.221
h0312,1.039
h0313,1.329
h0314,1.430
h0315,1.437
h0401,1.400
h0402,1.611
h0403,1.503
h0404,2.000
h0405,1.921
h0406,1.605
h0407,1.525
h0408,1.400
h0409,1.708
h0410,2.000
h0411,1.432
h0412,1.264
h0413,0.861
h0414,1.099
h0415,1.066
h0501,1.400
h0502,1.718
h0503,0.824
h0504,1.554
h0505,2.000
h0506,2.000
h0507,1.407
h0508,0.600
h0509,1.321
h0510,1.370
h0511,1.150
h0512,1.400
h0513,1.320
h0514,0.757
h0515,0.600
h0601,1.125
h0602,1.516
h0603,1.190
h0604,2.000
h0605,2.000
h0606,1.842
h0607,0.857
h0608,0.600
h0609,0.911
h0610,1.432
h0611,1.978
h0612,1.400
h0613,0.731
h0614,1.461
h0615,1.008
h0701,1.227
h0702,1.316
h0703,1.548
h0704,2.000
h0705,1.777
h0706,1.300
h0707,1.073
h0708,1.000
h0709,0.656
h0710,1.002
h0711,2.000
h0712,1.758
h0713,0.989
h0714,0.900
h0715,0.625
h0801,1.470
h0802,1.391
h0803,2.000
h0804,1.890
h0805,1.267
h0806,0.600
h0807,1.000
h0808,2.000
h0809,1.300
h0810,1.400
h0811,2.000
h0812,1.547
h0813,1.459
h0814,0.600
h0815,0.600
h0901,0.600
h0902,1.327
h0903,1.204
h0904,2.000
h0905,1.300
h0906,0.600
h0907,0.797
h0908,1.300
h0909,1.300
h0910,1.860
h0911,1.049
h0912,2.000
h0913,1.300
h0914,1.000
h0915,0.600
h1001,0.600
h1002,0.881
h1003,1.300
h1004,2.000
h1005,1.368
h1006,1.597
h1007,0.600
h1008,0.600
h1009,0.600
h1010,1.377
h1011,0.805
h1012,1.183
h1013,0.947
h1014,1.902
h1015,1.124
h1101,0.600
h1102,1.207
h1103,1.288
h1104,1.956
h1105,1.300
h1106,0.643
h1107,1.325
h1108,1.454
h1109,0.600
h1110,0.714
h1111,1.675
h1112,1.400
h1113,1.832
h1114,1.049
h1115,1.357
h1201,0.988
h1202,1.300
h1203,1.129
h1204,1.804
h1205,1.410
h1206,1.539
h1207,0.864
h1208,1.661
h1209,1.545
h1210,0.600
h1211,1.570
h1212,1.536
h1213,1.456
h1214,0.600
h1215,1.118
h1301,1.359
h1302,2.000
h1303,2.000
h1304,1.550
h1305,1.053
h1306,1.374
h1307,1.723
h1308,1.289
h1309,0.600
h1310,1.585
h1311,1.389
h1312,0.600
h1313,1.135
h1314,1.306
h1315,1.265
h1401,1.236
h1402,1.463
h1403,1.328
h1404,0.600
h1405,1.187
h1406,1.579
h1407,1.310
h1408,0.968
h1409,0.600
h1410,0.600
h1411,1.463
h1412,1.570
h1413,2.000
h1414,1.367
h1415,1.557
h1501,0.600
h1502,1.065
h1503,1.458
h1504,0.997
h1505,0.991
h1506,0.818
h1507,1.570
h1508,0.708
h1509,0.600
h1510,1.506
h1511,2.000
h1512,1.645
h1513,1.400
h1514,0.600
h1515,0.600
