name,value_mm
h0101,0.600
h0102,0.600
h0103,1.574
h0104,1.545
h0105,0.850
h0106,0.836
h0107,1.260
h0108,1.121
h0109,1.277
h0110,0.804
h0111,1.212
h0112,1.279
h0113,1.212
h0114,0.909
h0115,0.600
h0201,1.176
h0202,0.855
h0203,1.502
h0204,1.118
h0205,1.188
h0206,1.454
h0207,1.141
h0208,0.937
h0209,1.092
h0210,0.742
h0211,1.467
h0212,1.083
h0213,1.507
h0214,1.089
h0215,0.600
h0301,1.110
h0302,1.369
h0303,0.970
h0304,1.346
h0305,1.103
h0306,1.662
h0307,1.348
h0308,1.310
h0309,1.319
h0310,1.661
h0311,1.439
h0312,1.059
h0313,0.895
h0314,1.495
h0315,1.111
h0401,1.348
h0402,1.032
h0403,1.175
h0404,1.780
h0405,1.725
h0406,1.209
h0407,1.379
h0408,1.173
h0409,1.155
h0410,1.361
h0411,1.329
h0412,1.483
h0413,1.129
h0414,0.966
h0415,0.600
h0501,1.232
h0502,1.379
h0503,1.386
h0504,1.244
h0505,1.849
h0506,1.180
h0507,1.344
h0508,1.493
h0509,1.720
h0510,1.286
h0511,1.221
h0512,1.563
h0513,1.482
h0514,0.600
h0515,0.600
h0601,0.927
h0602,1.031
h0603,0.705
h0604,1.189
h0605,1.516
h0606,1.452
h0607,1.225
h0608,2.000
h0609,1.237
h0610,0.790
h0611,1.368
h0612,1.988
h0613,1.580
h0614,1.125
h0615,0.769
h0701,1.789
h0702,1.064
h0703,1.053
h0704,1.438
h0705,1.307
h0706,1.606
h0707,0.985
h0708,1.006
h0709,1.951
h0710,1.147
h0711,0.986
h0712,1.699
h0713,1.140
h0714,0.736
h0715,0.600
h0801,1.018
h0802,1.299
h0803,1.295
h0804,1.440
h0805,1.161
h0806,1.937
h0807,1.800
h0808,2.000
h0809,1.400
h0810,1.196
h0811,1.466
h0812,1.359
h0813,1.470
h0814,1.467
h0815,1.541
h0901,1.057
h0902,1.154
h0903,1.673
h0904,1.647
h0905,1.122
h0906,1.208
h0907,1.890
h0908,1.800
h0909,1.000
h0910,1.520
h0911,1.416
h0912,1.430
h0913,1.605
h0914,1.204
h0915,1.248
h1001,1.233
h1002,1.203
h1003,1.284
h1004,1.262
h1005,2.000
h1006,1.175
h1007,1.320
h1008,1.658
h1009,1.806
h1010,1.965
h1011,2.000
h1012,2.000
h1013,1.473
h1014,1.747
h1015,0.839
h1101,1.217
h1102,1.218
h1103,1.504
h1104,1.654
h1105,1.565
h1106,0.941
h1107,1.067
h1108,1.125
h1109,1.693
h1110,2.000
h1111,1.513
h1112,1.210
h1113,1.844
h1114,1.154
h1115,1.076
h1201,0.978
h1202,1.332
h1203,1.173
h1204,1.306
h1205,1.251
h1206,1.159
h1207,0.855
h1208,1.043
h1209,1.628
h1210,1.001
h1211,1.176
h1212,1.992
h1213,1.737
h1214,1.007
h1215,0.845
h1301,1.013
h1302,1.201
h1303,1.720
h1304,1.613
h1305,1.322
h1306,1.396
h1307,1.568
h1308,0.897
h1309,1.056
h1310,1.498
h1311,0.956
h1312,1.318
h1313,2.000
h1314,1.551
h1315,1.009
h1401,0.600
h1402,0.945
h1403,1.048
h1404,1.253
h1405,1.709
h1406,0.844
h1407,0.638
h1408,1.302
h1409,0.650
h1410,1.153
h1411,1.112
h1412,1.464
h1413,1.725
h1414,1.400
h1415,0.600
h1501,0.716
h1502,0.877
h1503,1.224
h1504,1.205
h1505,1.728
h1506,1.355
h1507,1.376
h1508,0.822
h1509,1.049
h1510,1.505
h1511,1.955
h1512,1.328
h1513,1.109
h1514,1.555
h1515,0.600
