name,value_mm
h0101,0.600
h0102,1.197
h0103,1.280
h0104,1.049
h0105,1.069
h0106,1.047
h0107,1.393
h0108,1.045
h0109,0.896
h0110,1.205
h0111,1.486
h0112,0.938
h0113,0.826
h0114,0.600
h0115,0.600
h0201,0.629
h0202,1.115
h0203,1.217
h0204,1.246
h0205,1.365
h0206,1.707
h0207,1.078
h0208,1.299
h0209,0.961
h0210,1.073
h0211,1.353
h0212,0.994
h0213,1.330
h0214,1.102
h0215,0.916
h0301,1.048
h0302,1.304
h0303,1.065
h0304,1.141
h0305,1.240
h0306,1.880
h0307,1.475
h0308,1.476
h0309,1.490
h0310,1.407
h0311,1.254
h0312,1.194
h0313,1.380
h0314,1.413
h0315,0.935
h0401,1.402
h0402,1.025
h0403,0.937
h0404,1.249
h0405,1.403
h0406,0.979
h0407,1.070
h0408,1.476
h0409,1.075
h0410,0.955
h0411,1.652
h0412,1.404
h0413,1.123
h0414,1.195
h0415,1.020
h0501,1.037
h0502,1.472
h0503,1.356
h0504,1.721
h0505,1.855
h0506,1.006
h0507,1.043
h0508,0.994
h0509,1.123
h0510,1.126
h0511,1.399
h0512,1.618
h0513,0.797
h0514,0.998
h0515,0.918
h0601,1.069
h0602,1.070
h0603,1.327
h0604,1.332
h0605,1.708
h0606,1.765
h0607,0.994
h0608,1.993
h0609,1.050
h0610,0.874
h0611,1.543
h0612,1.521
h0613,1.395
h0614,1.205
h0615,1.240
h0701,1.043
h0702,0.973
h0703,1.071
h0704,1.046
h0705,0.951
h0706,1.024
h0707,0.600
h0708,1.081
h0709,0.600
h0710,1.099
h0711,1.086
h0712,1.454
h0713,1.084
h0714,0.976
h0715,0.751
h0801,1.524
h0802,0.801
h0803,1.391
h0804,1.375
h0805,1.216
h0806,1.883
h0807,1.424
h0808,2.000
h0809,1.480
h0810,1.585
h0811,1.501
h0812,1.390
h0813,1.215
h0814,1.339
h0815,1.065
h0901,1.160
h0902,1.165
h0903,1.315
h0904,1.211
h0905,1.390
h0906,1.001
h0907,0.600
h0908,1.121
h0909,0.600
h0910,1.003
h0911,0.905
h0912,0.822
h0913,1.098
h0914,1.279
h0915,1.749
h1001,1.252
h1002,1.363
h1003,0.903
h1004,1.122
h1005,2.000
h1006,1.625
h1007,1.394
h1008,1.496
h1009,1.446
h1010,1.556
h1011,1.810
h1012,1.486
h1013,1.339
h1014,1.403
h1015,1.134
h1101,1.074
h1102,1.695
h1103,1.460
h1104,1.164
h1105,1.923
h1106,1.127
h1107,1.000
h1108,0.937
h1109,1.738
h1110,1.380
h1111,1.078
h1112,1.251
h1113,1.651
h1114,0.782
h1115,0.728
h1201,1.487
h1202,1.094
h1203,1.630
h1204,0.834
h1205,1.552
h1206,1.218
h1207,1.481
h1208,1.215
h1209,1.683
h1210,0.884
h1211,1.601
h1212,1.187
h1213,1.300
h1214,1.217
h1215,1.212
h1301,1.189
h1302,1.686
h1303,1.216
h1304,1.114
h1305,0.915
h1306,1.359
h1307,1.160
h1308,1.591
h1309,1.603
h1310,1.229
h1311,0.939
h1312,1.713
h1313,1.848
h1314,1.227
h1315,0.770
h1401,0.600
h1402,1.236
h1403,1.220
h1404,1.357
h1405,1.484
h1406,1.199
h1407,0.689
h1408,1.241
h1409,0.960
h1410,1.042
h1411,0.971
h1412,1.356
h1413,1.146
h1414,1.303
h1415,0.720
h1501,0.600
h1502,1.453
h1503,1.023
h1504,0.933
h1505,1.517
h1506,1.506
h1507,1.288
h1508,1.069
h1509,0.637
h1510,0.723
h1511,1.027
h1512,0.616
h1513,1.298
h1514,1.010
h1515,0.600
