name,value_mm
h0101,1.009
h0102,0.817
h0103,1.378
h0104,1.517
h0105,1.636
h0106,0.991
h0107,1.397
h0108,1.360
h0109,0.954
h0110,1.280
h0111,1.394
h0112,1.272
h0113,0.929
h0114,1.005
h0115,0.841
h0201,0.758
h0202,0.800
h0203,0.806
h0204,1.120
h0205,1.449
h0206,0.600
h0207,1.209
h0208,1.484
h0209,0.855
h0210,1.146
h0211,1.533
h0212,1.165
h0213,0.706
h0214,1.164
h0215,1.097
h0301,0.840
h0302,0.625
h0303,0.882
h0304,1.559
h0305,0.982
h0306,1.112
h0307,1.150
h0308,1.164
h0309,1.543
h0310,1.279
h0311,1.526
h0312,1.278
h0313,1.678
h0314,0.771
h0315,0.885
h0401,0.878
h0402,1.249
h0403,0.947
h0404,1.196
h0405,1.501
h0406,0.819
h0407,1.062
h0408,1.300
h0409,1.716
h0410,1.399
h0411,1.707
h0412,1.455
h0413,1.976
h0414,1.402
h0415,0.983
h0501,1.182
h0502,1.052
h0503,1.263
h0504,1.186
h0505,1.346
h0506,1.292
h0507,0.721
h0508,0.989
h0509,1.014
h0510,1.334
h0511,1.415
h0512,1.191
h0513,1.085
h0514,1.029
h0515,1.369
h0601,1.214
h0602,1.001
h0603,0.791
h0604,1.053
h0605,0.751
h0606,1.106
h0607,0.873
h0608,0.850
h0609,0.636
h0610,0.870
h0611,0.831
h0612,1.290
h0613,1.253
h0614,1.446
h0615,0.781
h0701,1.079
h0702,1.135
h0703,1.147
h0704,1.174
h0705,1.000
h0706,1.606
h0707,0.932
h0708,1.300
h0709,1.438
h0710,1.392
h0711,1.208
h0712,0.841
h0713,0.609
h0714,1.207
h0715,0.923
h0801,1.541
h0802,1.333
h0803,0.852
h0804,0.936
h0805,0.985
h0806,1.553
h0807,1.447
h0808,2.000
h0809,1.440
h0810,1.427
h0811,0.770
h0812,1.275
h0813,1.170
h0814,1.185
h0815,0.924
h0901,1.208
h0902,1.303
h0903,1.048
h0904,1.343
h0905,1.062
h0906,0.886
h0907,1.486
h0908,1.400
h0909,1.718
h0910,1.308
h0911,1.093
h0912,1.274
h0913,1.243
h0914,0.913
h0915,1.256
h1001,1.065
h1002,0.647
h1003,1.122
h1004,1.209
h1005,0.913
h1006,1.427
h1007,0.718
h1008,1.063
h1009,0.794
h1010,1.176
h1011,0.600
h1012,0.848
h1013,1.073
h1014,1.301
h1015,0.653
h1101,1.316
h1102,1.244
h1103,1.533
h1104,1.510
h1105,1.203
h1106,1.262
h1107,0.859
h1108,1.613
h1109,0.637
h1110,0.721
h1111,1.352
h1112,1.079
h1113,0.950
h1114,0.928
h1115,0.643
h1201,1.090
h1202,1.416
h1203,1.203
h1204,1.549
h1205,1.301
h1206,1.148
h1207,1.760
h1208,1.328
h1209,0.716
h1210,0.999
h1211,1.142
h1212,1.385
h1213,1.156
h1214,0.600
h1215,0.739
h1301,1.459
h1302,1.419
h1303,0.838
h1304,1.213
h1305,1.264
h1306,1.087
h1307,1.146
h1308,1.405
h1309,0.943
h1310,0.920
h1311,1.279
h1312,1.204
h1313,1.204
h1314,0.836
h1315,0.745
h1401,1.449
h1402,1.202
h1403,1.138
h1404,1.535
h1405,0.955
h1406,1.773
h1407,1.283
h1408,1.003
h1409,1.090
h1410,1.309
h1411,1.212
h1412,1.398
h1413,1.060
h1414,1.184
h1415,1.291
h1501,1.136
h1502,0.866
h1503,1.273
h1504,1.228
h1505,1.386
h1506,1.230
h1507,1.350
h1508,0.949
h1509,1.114
h1510,1.035
h1511,1.071
h1512,0.825
h1513,1.425
h1514,0.808
h1515,0.600
