frequency_hz,x,y,real_uz,imag_uz
200.0,-0.00382671281566,-0.00202612167119,0,0
200.0,-0.005,-0.005,2.6788518951e-14,0
200.0,-0.00197892066871,-0.00385133392306,0,0
200.0,-0.005,-0.00190753787223,1.57289408773e-14,0
200.0,-0.00433,0,0,0
200.0,-0.00190753787223,-0.005,1.55598363593e-14,0
200.0,0,-0.00433,0,0
200.0,-0.005,0.00190775150599,1.57544238484e-14,0
200.0,-0.00385133392306,0.00197892066871,0,0
200.0,0.00190775150599,-0.005,1.54331426976e-14,0
200.0,0.00202612167119,-0.00382671281566,0,0
200.0,-0.00202612167119,0.00382671281566,0,0
200.0,-0.005,0.005,2.68326250876e-14,0
200.0,-0.0019094272225,0.005,1.55600926509e-14,0
200.0,0,0.00433,0,0
200.0,0.00147766755988,0.00407006125046,0,0
200.0,8.32667268469e-19,0.005,1.16475652288e-14,0
200.0,0.00433,0,0,0
200.0,0.005,1.38777878078e-18,1.13828888487e-14,0
200.0,0.00407006125046,0.00147766755988,0,0
200.0,0.005,-0.005,2.65601228189e-14,0
200.0,0.00385133392306,-0.00197892066871,0,0
200.0,0.005,-0.0019094272225,1.56010044926e-14,0
200.0,0.00306177236254,0.00306177236254,0,0
200.0,0.0019094272225,0.005,1.56762831328e-14,0
200.0,0.005,0.0019094272225,1.57376364667e-14,0
200.0,-0.000885,-0.0015328649647,1.27150640264e-12,0
200.0,-0.0015328649647,-0.000885,1.27162878162e-12,0
200.0,-0.00186450691264,-0.00187567167242,8.43016383623e-13,0
200.0,-0.00177,0,1.27132052327e-12,0
200.0,-0.00268433516245,-0.000738983120158,7.59098821836e-13,0
200.0,0,-0.00177,1.27146804844e-12,0
200.0,-0.000718432264205,-0.00269192408424,7.57392675135e-13,0
200.0,-0.0015328649647,0.000885,1.26981607096e-12,0
200.0,-0.00265321485144,0.000647311733689,7.89881460831e-13,0
200.0,-0.000885,0.0015328649647,1.26818859341e-12,0
200.0,-0.00194719253591,0.00178443766524,8.43942693757e-13,0
200.0,0,0.00177,1.26408248761e-12,0
200.0,-0.000802720381054,0.00273415977115,7.17492804567e-13,0
200.0,0.000885,-0.0015328649647,1.27015690771e-12,0
200.0,0.00075154031863,-0.00270385456952,7.45282821114e-13,0
200.0,0.00177,0,1.26242226494e-12,0
200.0,0.0015328649647,-0.000885,1.268004523e-12,0
200.0,0.00271471102228,-0.000564731152102,7.60906457519e-13,0
200.0,0.00192394637685,-0.00189207206672,8.10087594103e-13,0
200.0,0.00231817117671,0.00040530921667,9.87900400771e-13,0
200.0,0.0015328649647,0.000885,1.2606886599e-12,0
200.0,0.000885,0.0015328649647,1.26139371268e-12,0
200.0,0.000427053001345,0.00287092483521,6.82182665293e-13,0
200.0,0.00187618296239,0.00184774001435,8.33331799256e-13,0
200.0,0.00312733402203,0.000607809752493,5.19193914326e-13,0
200.0,0.00276214303706,0.00136595635004,5.76853644927e-13,0
200.0,0.0014100336009,0.00268674970267,6.04765659459e-13,0
200.0,-0.075,-0.075,1.89253452349e-13,0
200.0,-0.07,-0.075,1.78743221672e-13,0
200.0,-0.075,-0.07,1.59847938174e-13,0
200.0,-0.07,-0.07,1.50526163585e-13,0
200.0,-0.075,-0.065,1.30204876855e-13,0
200.0,-0.07,-0.065,1.22488137129e-13,0
200.0,-0.065,-0.075,1.66645073636e-13,0
200.0,-0.065,-0.07,1.40251721217e-13,0
200.0,-0.065,-0.065,1.14089522285e-13,0
200.0,-0.075,-0.06,1.01445967238e-13,0
200.0,-0.07,-0.06,9.49398275213e-14,0
200.0,-0.065,-0.06,8.84048049238e-14,0
200.0,-0.075,-0.055,7.21859457134e-14,0
200.0,-0.07,-0.055,6.70714372853e-14,0
200.0,-0.065,-0.055,6.23854057317e-14,0
200.0,-0.075,-0.05,4.01974941718e-14,0
200.0,-0.07,-0.05,3.77742078894e-14,0
200.0,-0.065,-0.05,3.59289471439e-14,0
200.0,-0.075,-0.045,4.00773293659e-15,0
200.0,-0.07,-0.045,5.76180571754e-15,0
200.0,-0.065,-0.045,8.71309135773e-15,0
200.0,-0.075,-0.04,-4.39211553926e-14,0
200.0,-0.07,-0.04,-3.41670823165e-14,0
200.0,-0.075,-0.035,-1.02993018849e-13,0
200.0,-0.07,-0.035,-8.21907357958e-14,0
200.0,-0.065,-0.04,-2.3799010018e-14,0
200.0,-0.065,-0.035,-6.16048624177e-14,0
200.0,-0.075,-0.03,-1.66407915672e-13,0
200.0,-0.07,-0.03,-1.33359198139e-13,0
200.0,-0.075,-0.025,-2.29247540962e-13,0
200.0,-0.07,-0.025,-1.83807518606e-13,0
200.0,-0.065,-0.03,-1.01471704779e-13,0
200.0,-0.065,-0.025,-1.40369390622e-13,0
200.0,-0.075,-0.02,-2.87557877566e-13,0
200.0,-0.07,-0.02,-2.30493182743e-13,0
200.0,-0.075,-0.015,-3.38024292235e-13,0
200.0,-0.07,-0.015,-2.7093064022e-13,0
200.0,-0.065,-0.02,-1.758808947e-13,0
200.0,-0.065,-0.015,-2.06668216941e-13,0
200.0,-0.075,-0.01,-3.76726215219e-13,0
200.0,-0.07,-0.01,-3.02705059362e-13,0
200.0,-0.075,-0.005,-3.98956513431e-13,0
200.0,-0.07,-0.005,-3.224925503e-13,0
200.0,-0.065,-0.01,-2.31435585911e-13,0
200.0,-0.065,-0.005,-2.48369677058e-13,0
200.0,-0.075,0,-4.08183290751e-13,0
200.0,-0.07,0,-3.31860423811e-13,0
200.0,-0.075,0.005,-4.11375803888e-13,0
200.0,-0.07,0.005,-3.35186041011e-13,0
200.0,-0.065,4.16333634234e-19,-2.58220796648e-13,0
200.0,-0.065,0.005,-2.62412033931e-13,0
200.0,-0.075,0.01,-3.99064877772e-13,0
200.0,-0.07,0.01,-3.24255428655e-13,0
200.0,-0.075,0.015,-3.65065677009e-13,0
200.0,-0.07,0.015,-2.94346123567e-13,0
200.0,-0.065,0.01,-2.54869259997e-13,0
200.0,-0.065,0.015,-2.29413591144e-13,0
200.0,-0.075,0.02,-3.14977470347e-13,0
200.0,-0.07,0.02,-2.51955403169e-13,0
200.0,-0.075,0.025,-2.52285016918e-13,0
200.0,-0.07,0.025,-2.0008400582e-13,0
200.0,-0.065,0.02,-1.92721882577e-13,0
200.0,-0.065,0.025,-1.50468698397e-13,0
200.0,-0.075,0.03,-1.78148373335e-13,0
200.0,-0.07,0.03,-1.37526144329e-13,0
200.0,-0.075,0.035,-9.72517435659e-14,0
200.0,-0.07,0.035,-6.90385938691e-14,0
200.0,-0.065,0.03,-9.76747315213e-14,0
200.0,-0.065,0.035,-3.98300038443e-14,0
200.0,-0.075,0.04,-1.72733879861e-14,0
200.0,-0.07,0.04,-2.30369226761e-15,0
