frequency_hz,x,y,real_uz,imag_uz
636.547,-0.00382671281566,-0.00202612167119,0,0
636.547,-0.005,-0.005,2.05384918594e-14,0
636.547,-0.00197892066871,-0.00385133392306,0,0
636.547,-0.005,-0.00190753787223,1.51328886632e-14,0
636.547,-0.00433,0,0,0
636.547,-0.00190753787223,-0.005,1.37278060822e-14,0
636.547,0,-0.00433,0,0
636.547,-0.005,0.00190775150599,1.54535580276e-14,0
636.547,-0.00385133392306,0.00197892066871,0,0
636.547,0.00190775150599,-0.005,1.42265546291e-14,0
636.547,0.00202612167119,-0.00382671281566,0,0
636.547,-0.00202612167119,0.00382671281566,0,0
636.547,-0.005,0.005,2.6133855498e-14,0
636.547,-0.0019094272225,0.005,1.58258666393e-14,0
636.547,0,0.00433,0,0
636.547,0.00147766755988,0.00407006125046,0,0
636.547,8.32667268469e-19,0.005,1.19987106623e-14,0
636.547,0.00433,0,0,0
636.547,0.005,1.38777878078e-18,1.12111893454e-14,0
636.547,0.00407006125046,0.00147766755988,0,0
636.547,0.005,-0.005,2.54685861733e-14,0
636.547,0.00385133392306,-0.00197892066871,0,0
636.547,0.005,-0.0019094272225,1.6027688691e-14,0
636.547,0.00306177236254,0.00306177236254,0,0
636.547,0.0019094272225,0.005,1.6033527589e-14,0
636.547,0.005,0.0019094272225,1.57715578272e-14,0
636.547,-0.000885,-0.0015328649647,1.27161789169e-12,0
636.547,-0.0015328649647,-0.000885,1.27174029772e-12,0
636.547,-0.00186450691264,-0.00187567167242,8.43089723558e-13,0
636.547,-0.00177,0,1.2714319545e-12,0
636.547,-0.00268433516245,-0.000738983120158,7.59164753025e-13,0
636.547,0,-0.00177,1.27157944242e-12,0
636.547,-0.000718432264205,-0.00269192408424,7.57458432372e-13,0
636.547,-0.0015328649647,0.000885,1.26992727821e-12,0
636.547,-0.00265321485144,0.000647311733689,7.89950054183e-13,0
636.547,-0.000885,0.0015328649647,1.26829944498e-12,0
636.547,-0.00194719253591,0.00178443766524,8.4401596928e-13,0
636.547,0,0.00177,1.2641927227e-12,0
636.547,-0.000802720381054,0.00273415977115,7.17554820179e-13,0
636.547,0.000885,-0.0015328649647,1.27026808215e-12,0
636.547,0.00075154031863,-0.00270385456952,7.45347462725e-13,0
636.547,0.00177,0,1.26253234729e-12,0
636.547,0.0015328649647,-0.000885,1.26811531374e-12,0
636.547,0.00271471102228,-0.000564731152102,7.6097223043e-13,0
636.547,0.00192394637685,-0.00189207206672,8.10157853295e-13,0
636.547,0.00231817117671,0.00040530921667,9.8798586305e-13,0
636.547,0.0015328649647,0.000885,1.26079836454e-12,0
636.547,0.000885,0.0015328649647,1.26150348623e-12,0
636.547,0.000427053001345,0.00287092483521,6.82241445395e-13,0
636.547,0.00187618296239,0.00184774001435,8.33403638837e-13,0
636.547,0.00312733402203,0.000607809752493,5.19238408228e-13,0
636.547,0.00276214303706,0.00136595635004,5.76903152049e-13,0
636.547,0.0014100336009,0.00268674970267,6.04817591875e-13,0
636.547,-0.075,-0.075,-9.4037784406e-13,0
636.547,-0.07,-0.075,-6.19839245397e-13,0
636.547,-0.075,-0.07,-8.73932985025e-13,0
636.547,-0.07,-0.07,-6.08961873066e-13,0
636.547,-0.075,-0.065,-7.70733143081e-13,0
636.547,-0.07,-0.065,-5.65246492389e-13,0
636.547,-0.065,-0.075,-2.79231533119e-13,0
636.547,-0.065,-0.07,-3.33727319853e-13,0
636.547,-0.065,-0.065,-3.4956745747e-13,0
636.547,-0.075,-0.06,-6.81878824384e-13,0
636.547,-0.07,-0.06,-4.97585625055e-13,0
636.547,-0.065,-0.06,-3.1684805697e-13,0
636.547,-0.075,-0.055,-5.75221312443e-13,0
636.547,-0.07,-0.055,-4.15507551516e-13,0
636.547,-0.065,-0.055,-2.64760854071e-13,0
636.547,-0.075,-0.05,-4.3671986886e-13,0
636.547,-0.07,-0.05,-3.1389358559e-13,0
636.547,-0.065,-0.05,-1.98783961821e-13,0
636.547,-0.075,-0.045,-2.81287716446e-13,0
636.547,-0.07,-0.045,-1.97452801788e-13,0
636.547,-0.065,-0.045,-1.16912216865e-13,0
636.547,-0.075,-0.04,-1.34225147295e-13,0
636.547,-0.07,-0.04,-7.75462674958e-14,0
636.547,-0.075,-0.035,8.81930599932e-15,0
636.547,-0.07,-0.035,4.28696914362e-14,0
636.547,-0.065,-0.04,-2.48110648657e-14,0
636.547,-0.065,-0.035,7.23197746943e-14,0
636.547,-0.075,-0.03,1.48380461339e-13,0
636.547,-0.07,-0.03,1.62476372909e-13,0
636.547,-0.075,-0.025,2.81227499446e-13,0
636.547,-0.07,-0.025,2.79319052259e-13,0
636.547,-0.065,-0.03,1.71000957407e-13,0
636.547,-0.065,-0.025,2.66631181829e-13,0
636.547,-0.075,-0.02,4.31379633292e-13,0
636.547,-0.07,-0.02,3.85874863881e-13,0
636.547,-0.075,-0.015,4.82643264597e-13,0
636.547,-0.07,-0.015,4.10217056514e-13,0
636.547,-0.065,-0.02,3.38803736107e-13,0
636.547,-0.065,-0.015,3.44100393975e-13,0
636.547,-0.075,-0.01,4.20285240536e-13,0
636.547,-0.07,-0.01,3.49900776432e-13,0
636.547,-0.075,-0.005,3.21790377814e-13,0
636.547,-0.07,-0.005,2.56495440908e-13,0
636.547,-0.065,-0.01,2.86558609171e-13,0
636.547,-0.065,-0.005,1.93170134324e-13,0
636.547,-0.075,0,2.11803132208e-13,0
636.547,-0.07,0,1.49069294744e-13,0
636.547,-0.075,0.005,1.0230225386e-13,0
636.547,-0.07,0.005,4.26580830635e-14,0
636.547,-0.065,4.16333634234e-19,8.56804348919e-14,0
636.547,-0.065,0.005,-2.09683900093e-14,0
636.547,-0.075,0.01,2.48126787077e-15,0
636.547,-0.07,0.01,-5.32481239793e-14,0
636.547,-0.075,0.015,-7.80376652048e-14,0
636.547,-0.07,0.015,-1.29013546388e-13,0
