frequency_hz,x,y,real_uz,imag_uz
636.547,-0.00382671281566,-0.00202612167119,0,0
636.547,-0.005,-0.005,2.43885241679e-14,0
636.547,-0.00197892066871,-0.00385133392306,0,0
636.547,-0.005,-0.00190753787223,1.54506524433e-14,0
636.547,-0.00433,0,0,0
636.547,-0.00190753787223,-0.005,1.50059917332e-14,0
636.547,0,-0.00433,0,0
636.547,-0.005,0.00190775150599,1.57174536789e-14,0
636.547,-0.00385133392306,0.00197892066871,0,0
636.547,0.00190775150599,-0.005,1.52356302487e-14,0
636.547,0.00202612167119,-0.00382671281566,0,0
636.547,-0.00202612167119,0.00382671281566,0,0
636.547,-0.005,0.005,2.67098375344e-14,0
636.547,-0.0019094272225,0.005,1.56581554835e-14,0
636.547,0,0.00433,0,0
636.547,0.00147766755988,0.00407006125046,0,0
636.547,8.32667268469e-19,0.005,1.17962920199e-14,0
636.547,0.00433,0,0,0
636.547,0.005,1.38777878078e-18,1.14728370822e-14,0
636.547,0.00407006125046,0.00147766755988,0,0
636.547,0.005,-0.005,2.66585405242e-14,0
636.547,0.00385133392306,-0.00197892066871,0,0
636.547,0.005,-0.0019094272225,1.57670454082e-14,0
636.547,0.00306177236254,0.00306177236254,0,0
636.547,0.0019094272225,0.005,1.56174887592e-14,0
636.547,0.005,0.0019094272225,1.57055078474e-14,0
636.547,-0.000885,-0.0015328649647,1.27161789169e-12,0
636.547,-0.0015328649647,-0.000885,1.27174029772e-12,0
636.547,-0.00186450691264,-0.00187567167242,8.43089723558e-13,0
636.547,-0.00177,0,1.2714319545e-12,0
636.547,-0.00268433516245,-0.000738983120158,7.59164753025e-13,0
636.547,0,-0.00177,1.27157944242e-12,0
636.547,-0.000718432264205,-0.00269192408424,7.57458432372e-13,0
636.547,-0.0015328649647,0.000885,1.26992727821e-12,0
636.547,-0.00265321485144,0.000647311733689,7.89950054183e-13,0
636.547,-0.000885,0.0015328649647,1.26829944498e-12,0
636.547,-0.00194719253591,0.00178443766524,8.4401596928e-13,0
636.547,0,0.00177,1.2641927227e-12,0
636.547,-0.000802720381054,0.00273415977115,7.17554820179e-13,0
636.547,0.000885,-0.0015328649647,1.27026808215e-12,0
636.547,0.00075154031863,-0.00270385456952,7.45347462725e-13,0
636.547,0.00177,0,1.26253234729e-12,0
636.547,0.0015328649647,-0.000885,1.26811531374e-12,0
636.547,0.00271471102228,-0.000564731152102,7.6097223043e-13,0
636.547,0.00192394637685,-0.00189207206672,8.10157853295e-13,0
636.547,0.00231817117671,0.00040530921667,9.8798586305e-13,0
636.547,0.0015328649647,0.000885,1.26079836454e-12,0
636.547,0.000885,0.0015328649647,1.26150348623e-12,0
636.547,0.000427053001345,0.00287092483521,6.82241445395e-13,0
636.547,0.00187618296239,0.00184774001435,8.33403638837e-13,0
636.547,0.00312733402203,0.000607809752493,5.19238408228e-13,0
636.547,0.00276214303706,0.00136595635004,5.76903152049e-13,0
636.547,0.0014100336009,0.00268674970267,6.04817591875e-13,0
636.547,-0.075,-0.075,-1.69157052736e-13,0
636.547,-0.07,-0.075,-1.3609475422e-13,0
636.547,-0.075,-0.07,-1.27602559398e-13,0
636.547,-0.07,-0.07,-1.04434012404e-13,0
636.547,-0.075,-0.065,-8.40537754069e-14,0
636.547,-0.07,-0.065,-7.28248787327e-14,0
636.547,-0.065,-0.075,-9.19921601169e-14,0
636.547,-0.065,-0.07,-7.44140918982e-14,0
636.547,-0.065,-0.065,-5.63840692452e-14,0
636.547,-0.075,-0.06,-4.89820558715e-14,0
636.547,-0.07,-0.06,-4.51918617036e-14,0
636.547,-0.065,-0.06,-3.8220552248e-14,0
636.547,-0.075,-0.055,-2.07644782375e-14,0
636.547,-0.07,-0.055,-2.28547249066e-14,0
636.547,-0.065,-0.055,-2.29527961065e-14,0
636.547,-0.075,-0.05,-7.01656873694e-16,0
636.547,-0.07,-0.05,-5.58854483916e-15,0
636.547,-0.065,-0.05,-9.88841688802e-15,0
636.547,-0.075,-0.045,1.89921150214e-14,0
636.547,-0.07,-0.045,1.09806156154e-14,0
636.547,-0.065,-0.045,2.69841057112e-15,0
636.547,-0.075,-0.04,4.03135801875e-14,0
636.547,-0.07,-0.04,2.68486239435e-14,0
636.547,-0.075,-0.035,5.84236261229e-14,0
636.547,-0.07,-0.035,4.04430801341e-14,0
636.547,-0.065,-0.04,1.38620768217e-14,0
636.547,-0.065,-0.035,2.37198191273e-14,0
636.547,-0.075,-0.03,7.14581879916e-14,0
636.547,-0.07,-0.03,5.12989891041e-14,0
636.547,-0.075,-0.025,8.29799490295e-14,0
636.547,-0.07,-0.025,6.04170699205e-14,0
636.547,-0.065,-0.03,3.21820957338e-14,0
636.547,-0.065,-0.025,3.87182770251e-14,0
636.547,-0.075,-0.02,9.26691416033e-14,0
636.547,-0.07,-0.02,6.64979357143e-14,0
636.547,-0.075,-0.015,9.6531546006e-14,0
636.547,-0.07,-0.015,6.77495687815e-14,0
636.547,-0.065,-0.02,4.19961902398e-14,0
636.547,-0.065,-0.015,4.14495111501e-14,0
636.547,-0.075,-0.01,9.35093499845e-14,0
636.547,-0.07,-0.01,6.31307345917e-14,0
636.547,-0.075,-0.005,8.42590521831e-14,0
636.547,-0.07,-0.005,5.25116567378e-14,0
636.547,-0.065,-0.01,3.51337937637e-14,0
636.547,-0.065,-0.005,2.22209661933e-14,0
636.547,-0.075,0,7.03001554648e-14,0
636.547,-0.07,0,3.76457111753e-14,0
636.547,-0.075,0.005,5.42553255792e-14,0
636.547,-0.07,0.005,2.12204771735e-14,0
636.547,-0.065,4.16333634234e-19,5.50368256214e-15,0
636.547,-0.065,0.005,-1.21286667382e-14,0
636.547,-0.075,0.01,3.8651812927e-14,0
636.547,-0.07,0.01,5.61307879062e-15,0
636.547,-0.075,0.015,2.54320835108e-14,0
636.547,-0.07,0.015,-7.3343255201e-15,0
636.547,-0.065,0.01,-2.82388344295e-14,0
636.547,-0.065,0.015,-4.143203322e-14,0
636.547,-0.075,0.02,1.65432196626e-14,0
636.547,-0.07,0.02,-1.57644187223e-14,0
636.547,-0.075,0.025,1.29944388689e-14,0
636.547,-0.07,0.025,-1.85191724642e-14,0
636.547,-0.065,0.02,-4.97585747606e-14,0
636.547,-0.065,0.025,-5.07094712828e-14,0
636.547,-0.075,0.03,2.3719572696e-14,0
636.547,-0.07,0.03,-8.08186875394e-15,0
636.547,-0.075,0.035,5.66847011479e-14,0
636.547,-0.07,0.035,1.8117079236e-14,0
636.547,-0.065,0.03,-3.82724419357e-14,0
636.547,-0.065,0.035,-1.69790046205e-14,0
636.547,-0.075,0.04,1.26758538116e-13,0
636.547,-0.07,0.04,6.15715961544e-14,0
636.547,-0.075,0.045,2.22636859124e-13,0
636.547,-0.07,0.045,1.20897934016e-13,0
636.547,-0.065,0.04,8.46933965147e-15,0
636.547,-0.065,0.045,3.69441244181e-14,0
636.547,-0.075,0.05,3.11944210802e-13,0
636.547,-0.07,0.05,1.83535941533e-13,0
636.547,-0.075,0.055,3.79769799107e-13,0
636.547,-0.07,0.055,2.25632331968e-13,0
636.547,-0.065,0.05,7.23541025942e-14,0
636.547,-0.065,0.055,8.96143877057e-14,0
636.547,-0.075,0.06,4.04438463e-13,0
636.547,-0.07,0.06,2.2491945064e-13,0
636.547,-0.075,0.065,3.66857482134e-13,0
636.547,-0.07,0.065,1.71004102626e-13,0
636.547,-0.065,0.06,6.77411447871e-14,0
636.547,-0.065,0.065,-4.11770435886e-16,0
636.547,-0.075,0.07,2.78319339106e-13,0
636.547,-0.07,0.07,7.45498135598e-14,0
636.547,-0.075,0.075,1.64303260736e-13,0
636.547,-0.07,0.075,-4.59485772376e-14,0
636.547,-0.065,0.07,-1.06312375797e-13,0
