frequency_hz,x,y,real_uz,imag_uz
676.77,-0.00382671281566,-0.00202612167119,0,0
676.77,-0.005,-0.005,2.581325133e-14,0
676.77,-0.00197892066871,-0.00385133392306,0,0
676.77,-0.005,-0.00190753787223,1.52221481602e-14,0
676.77,-0.00433,0,0,0
676.77,-0.00190753787223,-0.005,1.56812898445e-14,0
676.77,0,-0.00433,0,0
676.77,-0.005,0.00190775150599,1.50368388864e-14,0
676.77,-0.00385133392306,0.00197892066871,0,0
676.77,0.00190775150599,-0.005,1.58860024214e-14,0
676.77,0.00202612167119,-0.00382671281566,0,0
676.77,-0.00202612167119,0.00382671281566,0,0
676.77,-0.005,0.005,2.45454027423e-14,0
676.77,-0.0019094272225,0.005,1.55289505657e-14,0
676.77,0,0.00433,0,0
676.77,0.00147766755988,0.00407006125046,0,0
676.77,8.32667268469e-19,0.005,1.19681871587e-14,0
676.77,0.00433,0,0,0
676.77,0.005,1.38777878078e-18,1.11964622765e-14,0
676.77,0.00407006125046,0.00147766755988,0,0
676.77,0.005,-0.005,2.87839871327e-14,0
676.77,0.00385133392306,-0.00197892066871,0,0
676.77,0.005,-0.0019094272225,1.59103872566e-14,0
676.77,0.00306177236254,0.00306177236254,0,0
676.77,0.0019094272225,0.005,1.63590335814e-14,0
676.77,0.005,0.0019094272225,1.60345728624e-14,0
676.77,-0.000885,-0.0015328649647,1.27163402035e-12,0
676.77,-0.0015328649647,-0.000885,1.27175643029e-12,0
676.77,-0.00186450691264,-0.00187567167242,8.43100333341e-13,0
676.77,-0.00177,0,1.2714480748e-12,0
676.77,-0.00268433516245,-0.000738983120158,7.59174291016e-13,0
676.77,0,-0.00177,1.27159555733e-12,0
676.77,-0.000718432264205,-0.00269192408424,7.57467945198e-13,0
676.77,-0.0015328649647,0.000885,1.2699433661e-12,0
676.77,-0.00265321485144,0.000647311733689,7.89959977297e-13,0
676.77,-0.000885,0.0015328649647,1.26831548141e-12,0
676.77,-0.00194719253591,0.00178443766524,8.44026569744e-13,0
676.77,0,0.00177,1.26420866995e-12,0
676.77,-0.000802720381054,0.00273415977115,7.17563791716e-13,0
676.77,0.000885,-0.0015328649647,1.27028416529e-12,0
676.77,0.00075154031863,-0.00270385456952,7.45356814157e-13,0
676.77,0.00177,0,1.26254827244e-12,0
676.77,0.0015328649647,-0.000885,1.26813134137e-12,0
676.77,0.00271471102228,-0.000564731152102,7.6098174552e-13,0
676.77,0.00192394637685,-0.00189207206672,8.10168017398e-13,0
676.77,0.00231817117671,0.00040530921667,9.87998226517e-13,0
676.77,0.0015328649647,0.000885,1.26081423504e-12,0
676.77,0.000885,0.0015328649647,1.26151936671e-12,0
676.77,0.000427053001345,0.00287092483521,6.82249948863e-13,0
676.77,0.00187618296239,0.00184774001435,8.33414031565e-13,0
676.77,0.00312733402203,0.000607809752493,5.19244844972e-13,0
676.77,0.00276214303706,0.00136595635004,5.76910314033e-13,0
676.77,0.0014100336009,0.00268674970267,6.04825104717e-13,0
676.77,-0.075,-0.075,-2.34424219493e-13,0
676.77,-0.07,-0.075,-1.7433118531e-13,0
676.77,-0.075,-0.07,-1.73328095627e-13,0
676.77,-0.07,-0.07,-1.29288526806e-13,0
676.77,-0.075,-0.065,-9.68740548611e-14,0
676.77,-0.07,-0.065,-7.63575353549e-14,0
676.77,-0.065,-0.075,-1.06694970621e-13,0
676.77,-0.065,-0.07,-8.19207701049e-14,0
676.77,-0.065,-0.065,-5.23453077609e-14,0
676.77,-0.075,-0.06,-1.34345327826e-14,0
676.77,-0.07,-0.06,-1.79964304557e-14,0
676.77,-0.065,-0.06,-1.77165589827e-14,0
676.77,-0.075,-0.055,5.212338976e-14,0
676.77,-0.07,-0.055,2.93074883801e-14,0
676.77,-0.065,-0.055,1.19692052076e-14,0
676.77,-0.075,-0.05,8.72817210504e-14,0
676.77,-0.07,-0.05,5.79754358942e-14,0
676.77,-0.065,-0.05,3.33339308617e-14,0
676.77,-0.075,-0.045,1.08989900089e-13,0
676.77,-0.07,-0.045,7.4725804588e-14,0
676.77,-0.065,-0.045,4.44506791039e-14,0
676.77,-0.075,-0.04,1.18464333419e-13,0
676.77,-0.07,-0.04,8.0729264533e-14,0
676.77,-0.075,-0.035,1.19926867059e-13,0
676.77,-0.07,-0.035,8.01770734663e-14,0
676.77,-0.065,-0.04,4.60387990544e-14,0
676.77,-0.065,-0.035,4.29272030871e-14,0
676.77,-0.075,-0.03,1.1490148906e-13,0
676.77,-0.07,-0.03,7.46022707246e-14,0
676.77,-0.075,-0.025,1.05641934113e-13,0
676.77,-0.07,-0.025,6.63736526591e-14,0
676.77,-0.065,-0.03,3.64603060499e-14,0
676.77,-0.065,-0.025,2.8989879602e-14,0
676.77,-0.075,-0.02,9.67801890701e-14,0
676.77,-0.07,-0.02,5.87140534914e-14,0
676.77,-0.075,-0.015,9.02483106029e-14,0
676.77,-0.07,-0.015,5.28432051696e-14,0
676.77,-0.065,-0.02,2.27534529048e-14,0
676.77,-0.065,-0.015,1.80461635334e-14,0
676.77,-0.075,-0.01,8.74937394223e-14,0
676.77,-0.07,-0.01,5.06033789748e-14,0
676.77,-0.075,-0.005,8.96746665855e-14,0
676.77,-0.07,-0.005,5.33624718379e-14,0
676.77,-0.065,-0.01,1.62894050705e-14,0
676.77,-0.065,-0.005,1.91185569903e-14,0
676.77,-0.075,0,9.59562274996e-14,0
676.77,-0.07,0,5.94257221162e-14,0
676.77,-0.075,0.005,1.04296961539e-13,0
676.77,-0.07,0.005,6.69871338993e-14,0
676.77,-0.065,4.16333634234e-19,2.45158797402e-14,0
676.77,-0.065,0.005,3.11642002929e-14,0
676.77,-0.075,0.01,1.145952528e-13,0
676.77,-0.07,0.01,7.59819212248e-14,0
676.77,-0.075,0.015,1.22191393628e-13,0
676.77,-0.07,0.015,8.38268652214e-14,0
676.77,-0.065,0.01,3.93257668784e-14,0
676.77,-0.065,0.015,4.77691311748e-14,0
676.77,-0.075,0.02,1.24454025566e-13,0
676.77,-0.07,0.02,8.84109119958e-14,0
676.77,-0.075,0.025,1.19644291043e-13,0
676.77,-0.07,0.025,8.85651660501e-14,0
676.77,-0.065,0.02,5.47303844088e-14,0
676.77,-0.065,0.025,5.92740555933e-14,0
676.77,-0.075,0.03,9.52837326395e-14,0
676.77,-0.07,0.03,7.92562181721e-14,0
676.77,-0.075,0.035,4.54455024426e-14,0
676.77,-0.07,0.035,5.40637125784e-14,0
676.77,-0.065,0.03,6.01888620767e-14,0
676.77,-0.065,0.035,5.63338619326e-14,0
676.77,-0.075,0.04,-1.73563916672e-14,0
676.77,-0.07,0.04,1.2821028123e-14,0
676.77,-0.075,0.045,-7.73769190138e-14,0
676.77,-0.07,0.045,-3.08030952761e-14,0
676.77,-0.065,0.04,3.75968101869e-14,0
676.77,-0.065,0.045,1.16420848571e-14,0
676.77,-0.075,0.05,-1.20624539057e-13,0
676.77,-0.07,0.05,-6.77745449851e-14,0
676.77,-0.075,0.055,-1.60241930811e-13,0
676.77,-0.07,0.055,-1.00777144707e-13,0
676.77,-0.065,0.05,-1.72925928537e-14,0
676.77,-0.065,0.055,-4.22456313817e-14,0
676.77,-0.075,0.06,-1.99442434742e-13,0
676.77,-0.07,0.06,-1.27512858591e-13,0
676.77,-0.075,0.065,-2.32134644897e-13,0
676.77,-0.07,0.065,-1.47188970447e-13,0
676.77,-0.065,0.06,-5.67347038832e-14,0
676.77,-0.065,0.065,-6.28577217323e-14,0
676.77,-0.075,0.07,-2.61136661573e-13,0
676.77,-0.07,0.07,-1.58176538065e-13,0
676.77,-0.075,0.075,-2.76411025743e-13,0
676.77,-0.07,0.075,-1.59506510554e-13,0
676.77,-0.065,0.07,-5.91031950241e-14,0
676.77,-0.065,0.075,-4.59559969022e-14,0
676.77,-0.06,-0.075,-4.64850934327e-14,0
676.77,-0.06,-0.07,-3.56186053916e-14,0
676.77,-0.06,-0.065,-2.23181942723e-14,0
676.77,-0.055,-0.075,4.64590187237e-15,0
676.77,-0.055,-0.07,4.33878255418e-15,0
676.77,-0.055,-0.065,5.62941912092e-15,0
676.77,-0.06,-0.06,-9.49834724428e-15,0
676.77,-0.06,-0.055,1.89208752236e-15,0
676.77,-0.055,-0.06,4.03970110071e-15,0
