frequency_hz,x,y,real_uz,imag_uz
301.1,-0.00382671281566,-0.00202612167119,0,0
301.1,-0.005,-0.005,1.35727105309e-14,0
301.1,-0.00197892066871,-0.00385133392306,0,0
301.1,-0.005,-0.00190753787223,1.45746984022e-14,0
301.1,-0.00433,0,0,0
301.1,-0.00190753787223,-0.005,1.16709381379e-14,0
301.1,0,-0.00433,0,0
301.1,-0.005,0.00190775150599,1.69940664391e-14,0
301.1,-0.00385133392306,0.00197892066871,0,0
301.1,0.00190775150599,-0.005,1.1546905049e-14,0
301.1,0.00202612167119,-0.00382671281566,0,0
301.1,-0.00202612167119,0.00382671281566,0,0
301.1,-0.005,0.005,4.13558904991e-14,0
301.1,-0.0019094272225,0.005,1.97376894603e-14,0
301.1,0,0.00433,0,0
301.1,0.00147766755988,0.00407006125046,0,0
301.1,8.32667268469e-19,0.005,1.41233328479e-14,0
301.1,0.00433,0,0,0
301.1,0.005,1.38777878078e-18,1.13788562273e-14,0
301.1,0.00407006125046,0.00147766755988,0,0
301.1,0.005,-0.005,1.44165174282e-14,0
301.1,0.00385133392306,-0.00197892066871,0,0
301.1,0.005,-0.0019094272225,1.5125644541e-14,0
301.1,0.00306177236254,0.00306177236254,0,0
301.1,0.0019094272225,0.005,1.97078081219e-14,0
301.1,0.005,0.0019094272225,1.62084092672e-14,0
301.1,-0.000885,-0.0015328649647,1.27152186777e-12,0
301.1,-0.0015328649647,-0.000885,1.27164425051e-12,0
301.1,-0.00186450691264,-0.00187567167242,8.43026556929e-13,0
301.1,-0.00177,0,1.27133598039e-12,0
301.1,-0.00268433516245,-0.000738983120158,7.59107967443e-13,0
301.1,0,-0.00177,1.27148350039e-12,0
301.1,-0.000718432264205,-0.00269192408424,7.57401796612e-13,0
301.1,-0.0015328649647,0.000885,1.26983149701e-12,0
301.1,-0.00265321485144,0.000647311733689,7.89890975718e-13,0
301.1,-0.000885,0.0015328649647,1.26820397012e-12,0
301.1,-0.00194719253591,0.00178443766524,8.4395285813e-13,0
301.1,0,0.00177,1.26409777881e-12,0
301.1,-0.000802720381054,0.00273415977115,7.17501407029e-13,0
301.1,0.000885,-0.0015328649647,1.27017232921e-12,0
301.1,0.00075154031863,-0.00270385456952,7.45291787839e-13,0
301.1,0.00177,0,1.26243753495e-12,0
301.1,0.0015328649647,-0.000885,1.26801989127e-12,0
301.1,0.00271471102228,-0.000564731152102,7.60915581173e-13,0
301.1,0.00192394637685,-0.00189207206672,8.10097340067e-13,0
301.1,0.00231817117671,0.00040530921667,9.87912255625e-13,0
301.1,0.0015328649647,0.000885,1.26070387752e-12,0
301.1,0.000885,0.0015328649647,1.26140893986e-12,0
301.1,0.000427053001345,0.00287092483521,6.82190818944e-13,0
301.1,0.00187618296239,0.00184774001435,8.33341764446e-13,0
301.1,0.00312733402203,0.000607809752493,5.19200086275e-13,0
301.1,0.00276214303706,0.00136595635004,5.76860512282e-13,0
301.1,0.0014100336009,0.00268674970267,6.04772863237e-13,0
301.1,-0.075,-0.075,1.9859582812e-12,0
301.1,-0.07,-0.075,1.9378513077e-12,0
301.1,-0.075,-0.07,1.5070023527e-12,0
301.1,-0.07,-0.07,1.46895070562e-12,0
301.1,-0.075,-0.065,1.02154430526e-12,0
301.1,-0.07,-0.065,1.00194083149e-12,0
301.1,-0.065,-0.075,1.87409853528e-12,0
301.1,-0.065,-0.07,1.41991240341e-12,0
301.1,-0.065,-0.065,9.71773993495e-13,0
301.1,-0.075,-0.06,5.37902208925e-13,0
301.1,-0.07,-0.06,5.43108432638e-13,0
301.1,-0.065,-0.06,5.3559753644e-13,0
301.1,-0.075,-0.055,7.20320114766e-14,0
301.1,-0.07,-0.055,1.06152715802e-13,0
301.1,-0.065,-0.055,1.23906513161e-13,0
301.1,-0.075,-0.05,-3.55513146052e-13,0
301.1,-0.07,-0.05,-2.91266304606e-13,0
301.1,-0.065,-0.05,-2.47380532871e-13,0
301.1,-0.075,-0.045,-7.23774778715e-13,0
301.1,-0.07,-0.045,-6.30906925708e-13,0
301.1,-0.065,-0.045,-5.61800574653e-13,0
301.1,-0.075,-0.04,-1.01440122841e-12,0
301.1,-0.07,-0.04,-8.96760073151e-13,0
301.1,-0.075,-0.035,-1.21320589103e-12,0
301.1,-0.07,-0.035,-1.07722812218e-12,0
301.1,-0.065,-0.04,-8.05113491414e-13,0
301.1,-0.065,-0.035,-9.67611250603e-13,0
301.1,-0.075,-0.03,-1.31283374538e-12,0
301.1,-0.07,-0.03,-1.16636794145e-12,0
301.1,-0.075,-0.025,-1.31139852183e-12,0
301.1,-0.07,-0.025,-1.16417942414e-12,0
301.1,-0.065,-0.03,-1.04540235148e-12,0
301.1,-0.065,-0.025,-1.04007843941e-12,0
301.1,-0.075,-0.02,-1.21433220438e-12,0
301.1,-0.07,-0.02,-1.07574109161e-12,0
301.1,-0.075,-0.015,-1.03150475359e-12,0
301.1,-0.07,-0.015,-9.10906696174e-13,0
301.1,-0.065,-0.02,-9.57577801271e-13,0
301.1,-0.065,-0.015,-8.06852774665e-13,0
301.1,-0.075,-0.01,-7.78835131099e-13,0
301.1,-0.07,-0.01,-6.83434570577e-13,0
301.1,-0.075,-0.005,-4.75609663031e-13,0
301.1,-0.07,-0.005,-4.10933486471e-13,0
301.1,-0.065,-0.01,-6.00142090171e-13,0
301.1,-0.065,-0.005,-3.52901356179e-13,0
301.1,-0.075,0,-1.44958354291e-13,0
301.1,-0.07,0,-1.13864450626e-13,0
301.1,-0.075,0.005,1.88517570289e-13,0
301.1,-0.07,0.005,1.85567716354e-13,0
301.1,-0.065,4.16333634234e-19,-8.35628170057e-14,0
301.1,-0.065,0.005,1.87739564233e-13,0
301.1,-0.075,0.01,5.0004780899e-13,0
301.1,-0.07,0.01,4.65053792505e-13,0
301.1,-0.075,0.015,7.66153386349e-13,0
301.1,-0.07,0.015,7.03754228177e-13,0
301.1,-0.065,0.01,4.40720105309e-13,0
301.1,-0.065,0.015,6.56599522081e-13,0
301.1,-0.075,0.02,9.6696125742e-13,0
301.1,-0.07,0.02,8.83598806592e-13,0
301.1,-0.075,0.025,1.08590802804e-12,0
301.1,-0.07,0.025,9.90252564089e-13,0
301.1,-0.065,0.02,8.19453307863e-13,0
301.1,-0.065,0.025,9.16639379017e-13,0
301.1,-0.075,0.03,1.1123595392e-12,0
301.1,-0.07,0.03,1.01328783777e-12,0
301.1,-0.075,0.035,1.04007615861e-12,0
301.1,-0.07,0.035,9.46948977279e-13,0
301.1,-0.065,0.03,9.38765777404e-13,0
301.1,-0.065,0.035,8.79410300449e-13,0
301.1,-0.075,0.04,8.70072362163e-13,0
301.1,-0.07,0.04,7.90536391416e-13,0
301.1,-0.075,0.045,6.08812370935e-13,0
301.1,-0.07,0.045,5.49251842052e-13,0
301.1,-0.065,0.04,7.36376764246e-13,0
301.1,-0.065,0.045,5.12964008284e-13,0
301.1,-0.075,0.05,2.69653761441e-13,0
301.1,-0.07,0.05,2.34038017275e-13,0
