frequency_hz,x,y,real_uz,imag_uz
233.3,-0.00382671281566,-0.00202612167119,0,0
233.3,-0.005,-0.005,2.93786254949e-14,0
233.3,-0.00197892066871,-0.00385133392306,0,0
233.3,-0.005,-0.00190753787223,1.57205838368e-14,0
233.3,-0.00433,0,0,0
233.3,-0.00190753787223,-0.005,1.60837968364e-14,0
233.3,0,-0.00433,0,0
233.3,-0.005,0.00190775150599,1.5025650333e-14,0
233.3,-0.00385133392306,0.00197892066871,0,0
233.3,0.00190775150599,-0.005,1.60501554129e-14,0
233.3,0.00202612167119,-0.00382671281566,0,0
233.3,-0.00202612167119,0.00382671281566,0,0
233.3,-0.005,0.005,2.48476997721e-14,0
233.3,-0.0019094272225,0.005,1.55655722752e-14,0
233.3,0,0.00433,0,0
233.3,0.00147766755988,0.00407006125046,0,0
233.3,8.32667268469e-19,0.005,1.11523205302e-14,0
233.3,0.00433,0,0,0
233.3,0.005,1.38777878078e-18,1.14615747288e-14,0
233.3,0.00407006125046,0.00147766755988,0,0
233.3,0.005,-0.005,3.05158900871e-14,0
233.3,0.00385133392306,-0.00197892066871,0,0
233.3,0.005,-0.0019094272225,1.6090957499e-14,0
233.3,0.00306177236254,0.00306177236254,0,0
233.3,0.0019094272225,0.005,1.56511506514e-14,0
233.3,0.005,0.0019094272225,1.56897261201e-14,0
233.3,-0.000885,-0.0015328649647,1.27151080725e-12,0
233.3,-0.0015328649647,-0.000885,1.2716331873e-12,0
233.3,-0.00186450691264,-0.00187567167242,8.43019281072e-13,0
233.3,-0.00177,0,1.2713249256e-12,0
233.3,-0.00268433516245,-0.000738983120158,7.59101426586e-13,0
233.3,0,-0.00177,1.2714724493e-12,0
233.3,-0.000718432264205,-0.00269192408424,7.57395273013e-13,0
233.3,-0.0015328649647,0.000885,1.26982046444e-12,0
233.3,-0.00265321485144,0.000647311733689,7.89884170756e-13,0
233.3,-0.000885,0.0015328649647,1.26819297283e-12,0
233.3,-0.00194719253591,0.00178443766524,8.43945588661e-13,0
233.3,0,0.00177,1.26408684268e-12,0
233.3,-0.000802720381054,0.00273415977115,7.17495254625e-13,0
233.3,0.000885,-0.0015328649647,1.27016129989e-12,0
233.3,0.00075154031863,-0.00270385456952,7.45285374917e-13,0
233.3,0.00177,0,1.26242661398e-12,0
233.3,0.0015328649647,-0.000885,1.26800890002e-12,0
233.3,0.00271471102228,-0.000564731152102,7.60909056017e-13,0
