mode,alpha
8,-0.12057582288980484
9,-0.07862379401922226
10,-0.12380154430866241
11,-0.14408519864082336
12,-0.021098366007208824
13,0.19060033559799194
14,0.000982311787083745
15,0.0760025605559349
16,0.22778163850307465
17,0.08377740532159805
18,0.08773697912693024
19,-0.010737122036516666
20,-0.14514844119548798
21,-0.06716552376747131
22,-0.1104607805609703
23,0.009055029600858688
24,-0.005779035855084658
25,-0.01988791860640049
26,0.12452347576618195
27,-0.08956607431173325
28,-0.10526849329471588
29,0.08708743751049042
30,-0.019573824480175972
31,-0.11596415936946869
32,-0.07445723563432693
33,-0.08029861003160477
34,0.4126122295856476
35,-0.040079809725284576
36,0.36184757947921753
37,-0.1875440925359726
38,0.05595645308494568
39,0.18606463074684143
40,0.15587911009788513
41,-0.04352572187781334
42,0.09137307107448578
43,0.20543266832828522
44,0.06962468475103378
45,0.09151775389909744
46,0.06905994564294815
47,0.08136235922574997
48,-0.20847654342651367
49,0.22734567523002625
50,0.1546761691570282
51,-0.041330736130476
52,-0.07185620069503784
53,-0.06965869665145874
54,-0.07392002642154694
55,-0.06170959770679474
56,-0.01200035773217678
57,-0.11904442310333252
58,-0.1427079439163208
59,-0.23676927387714386
60,-0.14049018919467926
