mode,alpha
8,-0.3558891713619232
9,-0.12754680216312408
10,0.23717360198497772
11,0.13356542587280273
12,0.0020803825464099646
13,0.3101166784763336
14,0.1436575949192047
15,-0.06699975579977036
16,-0.3891131579875946
17,-0.12816669046878815
18,0.2547171711921692
19,0.014011191204190254
20,0.20069874823093414
21,0.16080278158187866
22,0.21703031659126282
23,-0.05136263370513916
24,0.016245968639850616
25,0.0554715134203434
26,0.17472608387470245
27,0.060606177896261215
28,0.1125577762722969
29,-0.029528208076953888
30,-0.028825949877500534
31,-0.11947865784168243
32,-0.1367727667093277
33,0.13093201816082
34,-0.1236024871468544
35,0.11215947568416595
36,0.14785276353359222
37,0.0517827607691288
38,-0.11816971749067307
39,-0.0633581206202507
40,0.0800766721367836
41,0.05687127262353897
42,-0.02249259315431118
43,0.14863213896751404
44,-0.17330172657966614
45,0.02321932092308998
46,0.05390635505318642
47,-0.03166000917553902
48,0.15253768861293793
49,-0.006031693425029516
50,-0.08221453428268433
51,-0.038661371916532516
52,-0.0024685084354132414
53,-0.03597714751958847
54,-0.05353131890296936
55,-0.028610972687602043
56,-0.04855230823159218
57,-0.15382641553878784
58,-0.07796851545572281
59,-0.06548633426427841
60,-0.02857452630996704
