mode,alpha
8,0.04378331080079079
9,0.20651964843273163
10,-0.5474740862846375
11,-0.04167051985859871
12,-0.09414011985063553
13,-0.194954052567482
14,-0.0422479473054409
15,-0.16576184332370758
16,-0.002016539452597499
17,-0.40477269887924194
18,0.10212864726781845
19,0.2142401784658432
20,0.17443984746932983
21,-0.144955575466156
22,-0.215895876288414
23,0.08513052016496658
24,0.046457841992378235
25,-0.1663871854543686
26,-0.18062087893486023
27,0.09306930005550385
28,-0.05571870878338814
29,-0.15713033080101013
30,-0.052750661969184875
31,0.06184544041752815
32,-0.26964008808135986
33,-0.06773889809846878
34,-0.01901557296514511
35,0.14275959134101868
36,0.07914607971906662
37,-0.14218208193778992
38,0.05493716150522232
39,0.11040284484624863
40,-0.08431866019964218
