rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
1,diagonal_dense_sweep,220.0,0.8217132742705863,2.4121010146405153,0.5996287128712872,2.6027590388218074,0.9831098696795562
2,diagonal_dense_sweep,140.0,0.7942952837178231,2.3338962208314498,0.5829207920792079,2.507396671385392,0.9655441214023455
3,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,200.0,0.7789805349589438,2.433575541386817,0.43347772277227725,2.6290910393113744,0.9986494648712981
4,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,474.0,0.7064547406740355,2.1424269254819954,0.45761138613861385,2.2773920320842733,0.997894307799726
5,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,400.0,0.6296768072791038,1.9091075077382162,0.4755569306930693,2.0035963513914443,0.893666360098169
6,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,820.0,0.6202447689531789,1.9721827295001773,0.3620049504950495,2.0769254657029936,0.9380918650320751
7,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,640.0,0.5182775351129456,1.6520489955016306,0.3917079207920792,1.709885369943669,0.9267335906474996
8,tags_ic_case_a_target_thick_refine_240_270,240.0,0.4953887433521701,1.5786840825414412,0.3963490099009901,1.6275411325114992,0.964333103919107
9,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,300.0,0.49086041416529497,1.6326219894862304,0.37995049504950495,1.6880175524703813,0.760893847729291
10,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,950.0,0.47863704997316014,1.536912644781253,0.45699257425742573,1.5809452630695375,0.7802443929082641
11,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,540.0,0.4770513556696825,1.5065927483881374,0.47339108910891087,1.5472536213025665,0.837974712474808
12,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,200.0,0.46968127249182995,1.5241145409760315,0.3712871287128713,1.5667107484698348,0.9993401745893109
13,tags_ic_case_a_target_thick_refine_240_270,242.0,0.4683459557962082,1.526127993502738,0.3774752475247525,1.5689489054235215,0.9592867810209009
14,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,920.0,0.46254407419377236,1.5179345101513722,0.36076732673267325,1.5598438027162036,0.9845652387706743
15,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,640.0,0.4534460734300234,1.5613021036107597,0.3551980198019802,1.6081264818569179,0.736646404184735
16,pipeline_ic_full_w4_probe,636.5,0.44985918858297924,1.5512630136891306,0.3502475247524752,1.5969298844408133,0.7554055974672769
17,pipeline_ic_full_w4_pipeline_ic_full,636.547,0.44933343603005815,1.5484612065299146,0.35241336633663367,1.59380724149555,0.7547962989546664
18,tags_ic_case_a_target_thick_refine_240_270,244.0,0.44170485102079615,1.4798226313130833,0.35426980198019803,1.517596703919997,0.9522942212534969
19,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,540.0,0.4332391089301857,1.4848494861000305,0.39542079207920794,1.5231590307991967,0.7233020934465099
20,diagonal_dense_sweep,180.0,0.4237052600002741,1.4675943327539622,0.297029702970297,1.5040776699536031,0.9951055505205747
21,tags_ic_case_a_target_thick_refine_240_270,246.0,0.4223883028031592,1.4392580927480492,0.34839108910891087,1.4728181776854141,0.9478433046551462
22,tags_ic_case_a_target_thick,301.1,0.4197102821646141,1.5422157557224656,0.26485148514851486,1.5868495473602506,0.7461663594183452
23,tags_ic_case_a_target_thick_probe,301.1,0.4197102821646141,1.5422157557224656,0.26485148514851486,1.5868495473602506,0.7461663594183452
24,tags_ic_case_a_target_thick_refine_240_270,248.0,0.4059027052017585,1.4038439768480198,0.34467821782178215,1.4338827959572278,0.9473636980632482
25,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,860.0,0.3948924682473858,1.5197408241269308,0.28032178217821785,1.5618505653198667,0.5420573403686566
26,tags_ic_case_a_target_thick_refine_240_270,250.0,0.3921766073455022,1.3725347770325247,0.34375,1.3995819800467382,0.9515319305945653
27,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,640.0,0.3863132891456522,1.4353190627808425,0.24566831683168316,1.4684804162229588,0.9121229980440417
28,tags_ic_case_a_target_thick_refine_240_270,252.0,0.38054229450085963,1.3449190524791306,0.34498762376237624,1.369421310329047,0.9563482661046593
29,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,950.0,0.3793741983186923,1.3812077844015427,0.307240099009901,1.4090722333337653,0.894325401654859
30,tags_ic_case_a_target_thick_refine_240_270,254.0,0.3725623922894316,1.3204072674216751,0.35426980198019803,1.342724711880799,0.9616517841176027
31,tags_ic_case_a_target_thick,256.0,0.3666549782060741,1.298363660870062,0.36695544554455445,1.3187750096817548,0.9678578831134694
32,tags_ic_case_a_target_thick_refine_240_270,256.0,0.3666549782060741,1.298363660870062,0.36695544554455445,1.3187750096817548,0.9678578831134694
33,tags_ic_case_a_target_thick_refine_240_270,258.0,0.36121886373585355,1.2787289720785764,0.37685643564356436,1.297489337684237,0.9772907174436933
34,tags_ic_case_a_target_thick_refine_240_270,260.0,0.3558476881690169,1.2610081810542746,0.3845915841584158,1.2783162034554376,0.9859684585709589
35,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,400.0,0.3542152810668495,1.3451202751456772,0.296720297029703,1.3696409992929215,0.836960865378588
36,tags_ic_case_a_target_thick,261.0,0.35211245051617657,1.252765976282147,0.3842821782178218,1.2694106974796746,0.9897568694292089
37,tags_ic_case_a_target_thick_refine_240_270,262.0,0.34880675510911746,1.2448164794093113,0.38521039603960394,1.2608287974135568,0.9929453502572217
38,tags_ic_case_a_target_thick_refine_240_270,264.0,0.34553338529540656,1.2301510726858473,0.3969678217821782,1.2450153389557,0.9975867463773438
39,diagonal_dense_sweep,260.0,0.3367821098635804,1.4142905433871504,0.2939356435643564,1.4453529068064892,0.3627950417410586
40,diagonal_dense_sweep,380.0,0.32294618465626523,1.3268534712873143,0.265779702970297,1.3497388558626553,0.7010591575032917
41,tags_ic_case_a_target_thick_refine_240_270,270.0,0.3145420720441815,1.1924748826639824,0.3589108910891089,1.2045012821917787,0.9924333088156412
42,tags_ic_case_a_target_thick,271.0,0.3105397684175636,1.1871014550012633,0.3530321782178218,1.198736124327279,0.997707270446438
43,diagonal_dense_sweep,500.0,0.3102872067219815,1.277803251174526,0.3183787128712871,1.2964867248653864,0.6478501809915577
44,diagonal_dense_sweep,820.0,0.30971343313481087,1.3571398674228234,0.28155940594059403,1.3827574096447544,0.38277907012240464
45,diagonal_dense_sweep,620.0,0.30536011402403584,1.281711030640367,0.32951732673267325,1.3007192921197648,0.5464306219791608
46,diagonal_dense_sweep,460.0,0.29741505306768634,1.2445909315373789,0.47648514851485146,1.2605853156665687,0.20631515892702168
47,diagonal_dense_sweep,1300.0,0.29725646957707264,1.3081329096371384,0.26485148514851486,1.329382047399484,0.534178380852139
48,tags_ic_case_a_target_thick_refine_240_270,268.0,0.29547593888804063,1.2038531564272088,0.3719059405940594,1.216719727931821,0.7046150817572816
49,tags_ic_case_a_target_thick,306.0,0.2907708415471361,1.266893867251588,0.2623762376237624,1.28468030164339,0.6732873893549615
50,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,750.0,0.28841765052230023,1.1969113098892106,0.28032178217821785,1.209263544718208,0.9442107708386414
51,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,506.545,0.28771127509054983,1.3117216609583733,0.25,1.3332814441144412,0.4664643639231977
52,tags_ic_case_a_target_thick,276.0,0.287161860754752,1.1627976830738616,0.3186881188118812,1.1727012970658002,0.9936188854014503
53,tags_ic_case_a_target_thick,281.0,0.26505127978116283,1.142257716508845,0.28867574257425743,1.1507496856252921,0.9716312811506204
54,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,540.0,0.25814254096296807,1.2769553896520862,0.21472772277227722,1.2955687801891873,0.4414280479383351
55,diagonal_dense_sweep,420.0,0.24786834733388213,1.1908127217688769,0.22896039603960397,1.2027176255186427,0.7240907829192377
56,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,250.0,0.23892394788332735,1.1473757371960376,0.25154702970297027,1.1562150956609585,0.7943852777654672
57,tags_ic_case_a_target_thick,286.0,0.2362141644454315,1.1305475350459244,0.26051980198019803,1.1382558663462448,0.8307797017800913
58,tags_ic_case_a_target_thick,291.0,0.22601654558278228,1.1081683565985576,0.2255569306930693,1.1144216203009647,0.9559894827853523
59,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,860.0,0.22574403221427705,1.201369829555852,0.3010519801980198,1.2140517538840843,0.23250801481842048
60,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,200.0,0.22526231907661967,1.2102476473220949,0.25495049504950495,1.2235928371125386,0.320888723451248
61,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,540.0,0.2234964677669722,1.0800144778548124,0.25495049504950495,1.0845159290382023,0.9999479284781148
62,tags_ic_case_a_target_thick,266.0,0.21476749347880808,1.2134628255205253,0.3162128712871287,1.2270504666183042,0.015897284520221877
63,tags_ic_case_a_target_thick_refine_240_270,266.0,0.21476749347880808,1.2134628255205253,0.3162128712871287,1.2270504666183042,0.015897284520221877
64,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,606.611,0.21289619431963097,1.1405017262606212,0.16336633663366337,1.148875295253246,0.8354229085523799
65,diagonal_dense_sweep,900.0,0.20683216205207983,1.237413501664218,0.20977722772277227,1.2528432533996527,0.13606553377921282
66,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,815.659,0.2028361159615597,1.1575928503200685,0.23422029702970298,1.1671343007867516,0.4312265309202076
67,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,420.0,0.20120761023887135,1.1133011728399322,0.15903465346534654,1.1198831818128652,0.8792048612337118
68,tags_ic_case_a_target_thick,296.0,0.19866080045600154,1.094803782545745,0.1905940594059406,1.1002145622963393,0.8615147787530298
69,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,474.0,0.1983973138051823,1.1961319178646703,0.21349009900990099,1.208426889004132,0.24849220231846247
70,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,474.0,0.18867215593320483,1.1204493644554914,0.2558787128712871,1.1274943050141755,0.4241706455074892
71,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,300.0,0.18493626431628687,1.0527598917403218,0.18564356435643564,1.0556490510637495,0.9784596295660688
72,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,750.0,0.17930163854796247,1.1230092164022174,0.22834158415841585,1.1302212296996625,0.39911731820840224
73,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,180.0,0.1792406120657804,1.0414474520601267,0.18997524752475248,1.0436915309520993,0.9745063179504017
74,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,666.533,0.17384973197701284,1.0744911206319427,0.18038366336633663,1.0786592775926498,0.7585199156645103
75,diagonal_dense_sweep,560.0,0.17253751104120435,1.139650746489651,0.2620668316831683,1.1479669422085295,0.14030220141069666
76,diagonal_dense_sweep,1000.0,0.16943002457640674,1.1080258268832317,0.18719059405940594,1.1142699985212703,0.5060099122273158
77,pipeline_ic_full_w6_pipeline_ic_full_v2_strong,636.547,0.1678131351552722,1.0146407631108076,0.20606435643564355,1.0154119081506718,0.9712110927208311
78,pipeline_w7_ic_v1_comsol_w7_multifreq_ic_v2_diverse,676.77,0.1660512201692917,0.9752835242542458,0.22277227722772278,0.9740346612390034,0.9921953700097483
79,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,387.72,0.16459658615797113,1.0567889741734815,0.22679455445544555,1.0599113723683986,0.6282714470953882
80,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,950.0,0.16072446568491522,0.9687179611127447,0.20544554455445543,0.9671485348213522,0.9909080231857857
81,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,750.0,0.15348282108073658,1.054203908455929,0.2255569306930693,1.0571765276229848,0.5358104447604535
82,pipeline_ic_full_w3_pipeline_ic_full,636.547,0.1508150795737304,0.9466863609453422,0.16986386138613863,0.9440754473770773,0.9985592115788879
83,diagonal_dense_sweep,740.0,0.14343001526886004,0.9854563802212765,0.18502475247524752,0.9847135094274071,0.8792258952628577
84,diagonal_dense_sweep,1150.0,0.1341530134240399,1.0613835013988726,0.20853960396039603,1.0647740057768562,0.35209318295767494
85,pipeline_ic_full_w6_pipeline_ic_full_v1,636.547,0.13025031876295,1.0379624543542771,0.09375,1.0400105576210843,0.7937530065197592
86,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,636.547,0.13025031876295,1.0379624543542771,0.09375,1.0400105576210843,0.7937530065197592
87,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,320.0,0.1271759700215313,0.999547116936115,0.1463490099009901,0.9995235417595213,0.8327126705123429
88,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,720.0,0.12658836779482824,0.9411248929821291,0.10643564356435643,0.9382593446152917,0.9465767472552129
