rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
1,tags_ic_case_a_target_thick_refine_240_270,240.0,0.6537459462078425,2.0065891731975243,0.6369703036369703,2.10828840697951,0.34905027001950384
2,diagonal_dense_sweep,1300.0,0.6507191691607951,1.965328353657951,0.45345345345345345,2.060655426493651,0.9981458006142043
3,tags_ic_case_a_target_thick_refine_240_270,242.0,0.6299521667315774,1.9430124513087605,0.6299632966299633,2.0349754984439796,0.3317059052733318
4,tags_ic_case_a_target_thick_refine_240_270,244.0,0.6099498407967257,1.8792749463345693,0.6396396396396397,1.96194485203265,0.3091628411849642
5,diagonal_dense_sweep,220.0,0.6042271500884457,2.030085480845404,0.42208875542208873,2.135501798318863,0.42629032397478556
6,tags_ic_case_a_target_thick_refine_240_270,246.0,0.5885654991451474,1.818814892268443,0.640306973640307,1.8930988012246603,0.29556341933582436
7,diagonal_dense_sweep,140.0,0.5786765449296147,1.9686402427707823,0.42475809142475807,2.064471528716821,0.3533703349590937
8,tags_ic_case_a_target_thick_refine_240_270,248.0,0.5677470409978463,1.762666830327388,0.6359693026359693,1.8295335363234961,0.2941288027972352
9,pipeline_ic_full_w4_probe,636.5,0.5644200215116106,1.7822933856140573,0.37570904237570907,1.851712715904118,0.973247266054483
10,pipeline_ic_full_w4_pipeline_ic_full,636.547,0.5641760426335309,1.7809509053063202,0.3763763763763764,1.8501941584850885,0.9734603764729868
11,tags_ic_case_a_target_thick_refine_240_270,250.0,0.548878828658205,1.710806002278866,0.630296963630297,1.771136940288381,0.3067956133400041
12,tags_ic_case_a_target_thick_refine_240_270,252.0,0.5375767370853359,1.6620481111201715,0.6469803136469803,1.7165070968490233,0.3220409181618035
13,tags_ic_case_a_target_thick_refine_240_270,254.0,0.5229442632601784,1.6165596688712762,0.649315982649316,1.6657780470376111,0.3397091454992424
14,tags_ic_case_a_target_thick,256.0,0.491847223564426,1.5740951586467564,0.5929262595929262,1.6186265463516296,0.3618150803895218
15,tags_ic_case_a_target_thick_refine_240_270,256.0,0.491847223564426,1.5740951586467564,0.5929262595929262,1.6186265463516296,0.3618150803895218
16,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,640.0,0.47586768046372147,1.7263069469542864,0.4037370704037371,1.7885599015234488,0.20070639382682787
